label,createdAt,captureSpeed,gravityFilter,averageFilter,elapsedTimeInSeconds,androidId,name,manufacturer,brand,brand,accelerometerMaxRange,accelerometerName,accelerometerMinDelay,gyroscopeMaxRange,gyroscopeName,gyroscopeMinDelay
acceleration 0m 40m normal,2023-04-23T18:46:16.348+01:00,250.0,true,Low-Pass Filter,8,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000
createdAt,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,latitude,longitude,speedKmh
2023-04-23T18:46:16.376+01:00,0.0706021785736084,-0.05845510959625244,0.28892993927001953,0.0018325960263609886,-0.01160643994808197,-6.108650122769177E-4,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:16.626+01:00,0.12659823894500732,-0.053388357162475586,0.22876262664794922,0.003054325934499502,-0.01466076634824276,-0.003054325934499502,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:16.876+01:00,0.49499303102493286,0.042565345764160156,0.03473663330078125,0.00427605677396059,-0.00855211354792118,-0.00427605677396059,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:17.127+01:00,-0.16901421546936035,1.3538811206817627,-0.6303434371948242,0.025045474991202354,0.0036651920527219772,-6.108650122769177E-4,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:17.377+01:00,-0.3692123293876648,0.5807322859764099,1.1057281494140625,0.02382374368607998,-0.02015855349600315,-0.0024434609804302454,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:17.628+01:00,-0.6077770590782166,0.10152101516723633,0.42577648162841797,0.0,6.108650122769177E-4,-0.0018325960263609886,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:17.879+01:00,0.606610894203186,0.22202008962631226,0.20872116088867188,0.036041051149368286,-0.033597588539123535,-0.018936822190880775,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:18.137+01:00,-0.05327439308166504,-0.3978235125541687,0.953557014465332,-0.007941247895359993,0.01038470957428217,-0.02626720629632473,39.80702209472656,-8.620320320129395,0.0
2023-04-23T18:46:18.398+01:00,0.04687941074371338,0.563447117805481,0.18465805053710938,0.02932153269648552,-0.007941247895359993,-0.04948008432984352,39.807010650634766,-8.620336532592773,7.090000152587891
2023-04-23T18:46:18.648+01:00,0.615098237991333,0.2098785638809204,0.7530918121337891,-0.010995574295520782,0.03726277872920036,-0.05497787147760391,39.807010650634766,-8.620336532592773,7.090000152587891
2023-04-23T18:46:18.898+01:00,-0.10174679756164551,0.15600836277008057,0.7097845077514648,0.031154127791523933,0.014049900695681572,-0.06108652427792549,39.807010650634766,-8.620336532592773,7.090000152587891
2023-04-23T18:46:19.148+01:00,0.990243673324585,-1.153648853302002,0.8700580596923828,0.006719517987221479,0.0012217300245538354,-0.0708603709936142,39.807010650634766,-8.620336532592773,7.090000152587891
2023-04-23T18:46:19.405+01:00,-0.7114368081092834,-2.0332367420196533,-0.5231132507324219,-0.03481931984424591,0.0018325960263609886,-0.06291911751031876,39.80698776245117,-8.620372772216797,17.5
2023-04-23T18:46:19.648+01:00,0.2170119285583496,-0.28533586859703064,-0.13103866577148438,0.015271631069481373,-0.018936822190880775,-0.07024950534105301,39.80698776245117,-8.620372772216797,17.5
2023-04-23T18:46:19.898+01:00,0.6335588693618774,0.9376630783081055,-0.3059844970703125,0.0354301854968071,-0.007941247895359993,-0.0806342139840126,39.80698776245117,-8.620372772216797,17.5
2023-04-23T18:46:20.148+01:00,0.4063594341278076,0.3426492214202881,-0.7682523727416992,-0.009162978269159794,-0.00733038317412138,-0.09773843735456467,39.80698776245117,-8.620372772216797,17.5
2023-04-23T18:46:20.398+01:00,0.05720067024230957,-0.09753310680389404,-0.5165386199951172,0.018936822190880775,0.019547687843441963,-0.08857546001672745,39.80696487426758,-8.620427131652832,20.700000762939453
2023-04-23T18:46:20.648+01:00,-0.7956771850585938,-0.23624873161315918,-0.15807437896728516,0.009773843921720982,-0.005497787147760391,-0.08185594528913498,39.80696487426758,-8.620427131652832,20.700000762939453
2023-04-23T18:46:20.898+01:00,-0.12860631942749023,-0.29496538639068604,-0.8019790649414062,6.108650122769177E-4,0.03237585723400116,-0.09224065393209457,39.80696487426758,-8.620427131652832,20.700000762939453
2023-04-23T18:46:21.148+01:00,-0.8740159273147583,-0.3195033669471741,-0.09479713439941406,0.029932396486401558,-0.02382374368607998,-0.07941248267889023,39.80696487426758,-8.620427131652832,20.700000762939453
2023-04-23T18:46:21.399+01:00,-0.5872520208358765,-0.8386079668998718,0.19676685333251953,0.036041051149368286,-0.03237585723400116,-0.08674286305904388,39.80694580078125,-8.620494842529297,24.799999237060547
2023-04-23T18:46:21.648+01:00,-5.856100082397461,0.9455294609069824,-1.0323829650878906,-0.024434609338641167,-0.09773843735456467,-0.05314527451992035,39.80694580078125,-8.620494842529297,24.799999237060547
2023-04-23T18:46:21.898+01:00,0.015064477920532227,0.07577228546142578,0.7056617736816406,0.039706241339445114,-0.07635815441608429,-0.06414084881544113,39.80694580078125,-8.620494842529297,24.799999237060547
2023-04-23T18:46:22.148+01:00,-0.1233971118927002,0.2350081205368042,1.176102638244629,-0.003054325934499502,0.02382374368607998,-0.07147123664617538,39.80694580078125,-8.620494842529297,24.799999237060547
