label,createdAt,captureSpeed,gravityFilter,averageFilter,elapsedTimeInSeconds,androidId,name,manufacturer,brand,brand,accelerometerMaxRange,accelerometerName,accelerometerMinDelay,gyroscopeMaxRange,gyroscopeName,gyroscopeMinDelay
acceleration aggressive 50kmh,2023-04-28 17:22:28.625,250.0,true,Low-Pass Filter,7,2ccc978eef8e0f22,Pieter,samsung,samsung,SM-A515F,78.45320129394531,LSM6DSL Accelerometer,2000,17.45326042175293,LSM6DSL Gyroscope,2000
timestamp,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,latitude,longitude,speedKmh
2023-04-28 17:22:28.666,-0.1400764435529709,0.20141810178756714,-0.6489229202270508,6.108650122769177E-4,0.0036651920527219772,0.0018325960263609886,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:28.916,-0.08886481821537018,-0.17200711369514465,0.29934024810791016,0.004886921960860491,0.0012217300245538354,-6.108650122769177E-4,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:29.167,-0.20838123559951782,-0.047804176807403564,-0.06197166442871094,0.0024434609804302454,-0.003054325934499502,0.0036651920527219772,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:29.420,0.08375304937362671,1.3753447532653809,0.8439531326293945,0.042760565876960754,0.006108651868999004,-0.00427605677396059,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:29.681,-0.1500539481639862,2.2795286178588867,-0.45728492736816406,0.03298672288656235,0.006108651868999004,-0.00427605677396059,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:29.933,-0.07705381512641907,0.9310019016265869,1.064117431640625,0.0024434609804302454,0.006719517987221479,-0.01160643994808197,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:30.185,0.18309882283210754,0.49451541900634766,1.0188465118408203,-0.00427605677396059,0.019547687843441963,-0.007941247895359993,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:30.439,-0.10728249698877335,0.44791460037231445,0.5269994735717773,0.013439035043120384,0.018325956538319588,6.108650122769177E-4,39.74092483520508,-8.818765640258789,0.0
2023-04-28 17:22:30.698,-0.20790211856365204,0.42597103118896484,0.1986856460571289,0.003054325934499502,-0.003054325934499502,-0.0036651920527219772,39.740928649902344,-8.818744659423828,13.100000381469727
2023-04-28 17:22:30.950,-0.5639491081237793,-0.6498289108276367,0.849639892578125,-0.054367005825042725,0.010995574295520782,-0.003054325934499502,39.740928649902344,-8.818744659423828,13.100000381469727
2023-04-28 17:22:31.202,0.3395574688911438,0.12801671028137207,0.29302024841308594,-0.009162978269159794,-0.006719517987221479,-0.004886921960860491,39.740928649902344,-8.818744659423828,13.100000381469727
2023-04-28 17:22:31.456,0.15118908882141113,0.42156124114990234,0.9065313339233398,0.010995574295520782,0.01160643994808197,-0.006719517987221479,39.740928649902344,-8.818744659423828,13.100000381469727
2023-04-28 17:22:31.708,0.029761001467704773,-2.2333385944366455,0.9380674362182617,-0.04642575979232788,-0.016493361443281174,-0.0018325960263609886,39.740928649902344,-8.818674087524414,29.0
2023-04-28 17:22:31.960,-0.09718655794858932,3.053027629852295,-0.18486499786376953,0.10323622822761536,-0.07819075137376785,-0.009162978269159794,39.740928649902344,-8.818674087524414,29.0
2023-04-28 17:22:32.212,0.17060691118240356,0.15451264381408691,0.6942014694213867,0.007941247895359993,-0.029932396486401558,-0.00733038317412138,39.740928649902344,-8.818674087524414,29.0
2023-04-28 17:22:32.465,0.4373236298561096,-0.0369565486907959,0.2453622817993164,0.015882495790719986,-0.005497787147760391,0.0036651920527219772,39.740928649902344,-8.818674087524414,29.0
2023-04-28 17:22:32.717,0.23001256585121155,-0.13376331329345703,0.47980785369873047,-0.006108651868999004,-0.003054325934499502,0.00733038317412138,39.74094009399414,-8.81857681274414,33.70000076293945
2023-04-28 17:22:32.970,0.12034806609153748,-0.2001969814300537,0.15813636779785156,0.019547687843441963,-0.00733038317412138,0.005497787147760391,39.74094009399414,-8.81857681274414,33.70000076293945
2023-04-28 17:22:33.221,-0.006787300109863281,0.10888671875,-0.618133544921875,0.03298672288656235,-0.00855211354792118,-0.006108651868999004,39.74094009399414,-8.81857681274414,33.70000076293945
2023-04-28 17:22:33.478,0.048414379358291626,-0.07892274856567383,-0.4340934753417969,-0.04459316283464432,-0.051312681287527084,0.0018325960263609886,39.74094009399414,-8.81857681274414,33.70000076293945
2023-04-28 17:22:33.724,0.5933189392089844,-0.2301626205444336,0.6173877716064453,0.060475658625364304,0.02932153269648552,-0.02687807008624077,39.74095153808594,-8.818452835083008,40.70000076293945
2023-04-28 17:22:33.978,-0.004605590831488371,-0.0012478829594329,1.1737394332885742,-0.003054325934499502,0.05803219974040985,-0.015882495790719986,39.74095153808594,-8.818452835083008,40.70000076293945
2023-04-28 17:22:34.230,-0.0794755220413208,0.2412867546081543,-0.4083271026611328,0.05375614017248154,0.025045474991202354,-0.014049900695681572,39.74095153808594,-8.818452835083008,40.70000076293945
2023-04-28 17:22:34.483,0.08192160725593567,-0.1043550968170166,0.07058238983154297,-0.07330382615327835,-0.05192354694008827,-0.021991148591041565,39.74095153808594,-8.818452835083008,40.70000076293945
2023-04-28 17:22:34.740,-0.23126885294914246,-0.0077838897705078125,-0.19483184814453125,0.036651913076639175,0.02076941914856434,-0.010995574295520782,39.740962982177734,-8.818302154541016,48.099998474121094
