accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,sumAcc,label
"[-0.0937193185091018, -0.0435246676206588, 0.0752258449792862, 0.045721024274826]","[-0.0369772911071777, 0.1670014858245849, -0.0962684154510498, -0.0497888028621673]","[-0.5876541137695312, 0.3975439071655273, 0.2704200744628906, 0.0300140380859375]","[0.0250454749912023, 0.0048869219608604, 0.0122173046693205, 0.0018325960263609]","[0.0250454749912023, 0.0140499006956815, 0.0116064399480819, -0.0116064399480819]","[-0.0384845100343227, -0.0378736443817615, -0.0280998013913631, 0.0024434609804302]",0.07799376547336584,Normal
"[-0.0435246676206588, 0.0752258449792862, 0.045721024274826, 0.065973974764347]","[0.1670014858245849, -0.0962684154510498, -0.0497888028621673, 0.2087220251560211]","[0.3975439071655273, 0.2704200744628906, 0.0300140380859375, -0.1025609970092773]","[0.0048869219608604, 0.0122173046693205, 0.0018325960263609, -0.0036651920527219]","[0.0140499006956815, 0.0116064399480819, -0.0116064399480819, -0.0018325960263609]","[-0.0378736443817615, -0.0280998013913631, 0.0024434609804302, 0.0018325960263609]",0.9684794917702674,Normal
"[0.0752258449792862, 0.045721024274826, 0.065973974764347, 0.715085506439209]","[-0.0962684154510498, -0.0497888028621673, 0.2087220251560211, 1.0019748210906982]","[0.2704200744628906, 0.0300140380859375, -0.1025609970092773, 1.3376579284667969]","[0.0122173046693205, 0.0018325960263609, -0.0036651920527219, 0.0403171069920063]","[0.0116064399480819, -0.0116064399480819, -0.0018325960263609, 0.0317649915814399]","[-0.0280998013913631, 0.0024434609804302, 0.0018325960263609, 0.0067195179872214]",3.502177022397518,Aggressive
"[0.045721024274826, 0.065973974764347, 0.715085506439209, -0.1429235339164734]","[-0.0497888028621673, 0.2087220251560211, 1.0019748210906982, 1.7475167512893677]","[0.0300140380859375, -0.1025609970092773, 1.3376579284667969, -0.4594993591308594]","[0.0018325960263609, -0.0036651920527219, 0.0403171069920063, 0.0006108650122769177]","[-0.0116064399480819, -0.0018325960263609, 0.0317649915814399, -0.0213802829384803]","[0.0024434609804302, 0.0018325960263609, 0.0067195179872214, -0.0183259565383195]",4.397893376648426,Aggressive
"[0.065973974764347, 0.715085506439209, -0.1429235339164734, 0.2586172521114349]","[0.2087220251560211, 1.0019748210906982, 1.7475167512893677, 0.8356049060821533]","[-0.1025609970092773, 1.3376579284667969, -0.4594993591308594, 1.1397466659545898]","[-0.0036651920527219, 0.0403171069920063, 0.0006108650122769177, 0.0219911485910415]","[-0.0018325960263609, 0.0317649915814399, -0.0213802829384803, 0.006108651868999]","[0.0018325960263609, 0.0067195179872214, -0.0183259565383195, -0.0268780700862407]",6.605915941298008,Aggressive
"[0.715085506439209, -0.1429235339164734, 0.2586172521114349, -0.0844791531562805]","[1.0019748210906982, 1.7475167512893677, 0.8356049060821533, -0.9805186986923218]","[1.3376579284667969, -0.4594993591308594, 1.1397466659545898, -0.0372228622436523]","[0.0403171069920063, 0.0006108650122769177, 0.0219911485910415, -0.0250454749912023]","[0.0317649915814399, -0.0213802829384803, 0.006108651868999, -0.0048869219608604]","[0.0067195179872214, -0.0183259565383195, -0.0268780700862407, -0.0397062413394451]",5.3315602242946625,Aggressive
"[-0.1429235339164734, 0.2586172521114349, -0.0844791531562805, -0.0199888944625854]","[1.7475167512893677, 0.8356049060821533, -0.9805186986923218, 0.6902791261672974]","[-0.4594993591308594, 1.1397466659545898, -0.0372228622436523, 0.2867622375488281]","[0.0006108650122769177, 0.0219911485910415, -0.0250454749912023, 0.0507018156349659]","[-0.0213802829384803, 0.006108651868999, -0.0048869219608604, 0.0048869219608604]","[-0.0183259565383195, -0.0268780700862407, -0.0397062413394451, -0.0458148941397666]",3.2338944375514984,Aggressive
"[0.2586172521114349, -0.0844791531562805, -0.0199888944625854, 0.3732471466064453]","[0.8356049060821533, -0.9805186986923218, 0.6902791261672974, -0.5959246158599854]","[1.1397466659545898, -0.0372228622436523, 0.2867622375488281, 0.2454910278320312]","[0.0219911485910415, -0.0250454749912023, 0.0507018156349659, -0.0140499006956815]","[0.006108651868999, -0.0048869219608604, 0.0048869219608604, -0.0006108650122769177]","[-0.0268780700862407, -0.0397062413394451, -0.0458148941397666, -0.0464257597923278]",2.1116141378879547,Aggressive
"[-0.0844791531562805, -0.0199888944625854, 0.3732471466064453, 0.1398148834705352]","[-0.9805186986923218, 0.6902791261672974, -0.5959246158599854, 0.1636660099029541]","[-0.0372228622436523, 0.2867622375488281, 0.2454910278320312, 0.6314229965209961]","[-0.0250454749912023, 0.0507018156349659, -0.0140499006956815, 0.0317649915814399]","[-0.0048869219608604, 0.0048869219608604, -0.0006108650122769177, 0.0189368221908807]","[-0.0397062413394451, -0.0458148941397666, -0.0464257597923278, -0.047036625444889]",0.8125492036342621,Aggressive
"[-0.0199888944625854, 0.3732471466064453, 0.1398148834705352, 0.0082849413156509]","[0.6902791261672974, -0.5959246158599854, 0.1636660099029541, -0.1528670787811279]","[0.2867622375488281, 0.2454910278320312, 0.6314229965209961, 0.7547092437744141]","[0.0507018156349659, -0.0140499006956815, 0.0317649915814399, 0.0097738439217209]","[0.0048869219608604, -0.0006108650122769177, 0.0189368221908807, -0.0048869219608604]","[-0.0458148941397666, -0.0464257597923278, -0.047036625444889, -0.0549778714776039]",2.524897024035454,Aggressive
"[0.3732471466064453, 0.1398148834705352, 0.0082849413156509, 0.1972795575857162]","[-0.5959246158599854, 0.1636660099029541, -0.1528670787811279, -0.0323832035064697]","[0.2454910278320312, 0.6314229965209961, 0.7547092437744141, 0.002891540993005]","[-0.0140499006956815, 0.0317649915814399, 0.0097738439217209, 0.0262672062963247]","[-0.0006108650122769177, 0.0189368221908807, -0.0048869219608604, 0.0030543259344995]","[-0.0464257597923278, -0.047036625444889, -0.0549778714776039, -0.0592539273202419]",1.735632449854165,Normal
"[0.1398148834705352, 0.0082849413156509, 0.1972795575857162, 0.3854150772094726]","[0.1636660099029541, -0.1528670787811279, -0.0323832035064697, -1.2854647636413574]","[0.6314229965209961, 0.7547092437744141, 0.002891540993005, 0.6617498397827148]","[0.0317649915814399, 0.0097738439217209, 0.0262672062963247, -0.0458148941397666]","[0.0189368221908807, -0.0048869219608604, 0.0030543259344995, 0.0293215326964855]","[-0.047036625444889, -0.0549778714776039, -0.0592539273202419, -0.0635299831628799]",1.474519044626504,Aggressive
"[0.0082849413156509, 0.1972795575857162, 0.3854150772094726, 0.3085970878601074]","[-0.1528670787811279, -0.0323832035064697, -1.2854647636413574, -0.0161875262856483]","[0.7547092437744141, 0.002891540993005, 0.6617498397827148, 0.1277685165405273]","[0.0097738439217209, 0.0262672062963247, -0.0458148941397666, 0.0293215326964855]","[-0.0048869219608604, 0.0030543259344995, 0.0293215326964855, 0.0525344125926494]","[-0.0549778714776039, -0.0592539273202419, -0.0635299831628799, -0.0574213340878486]",0.959793232847005,Aggressive
"[0.1972795575857162, 0.3854150772094726, 0.3085970878601074, 0.045721024274826]","[-0.0323832035064697, -1.2854647636413574, -0.0161875262856483, -0.0497888028621673]","[0.002891540993005, 0.6617498397827148, 0.1277685165405273, 0.0300140380859375]","[0.0262672062963247, -0.0458148941397666, 0.0293215326964855, 0.0018325960263609]","[0.0030543259344995, 0.0293215326964855, 0.0525344125926494, -0.0116064399480819]","[-0.0592539273202419, -0.0635299831628799, -0.0574213340878486, 0.0024434609804302]",0.37561238603666414,Aggressive
"[0.3854150772094726, 0.3085970878601074, 0.045721024274826, 0.065973974764347]","[-1.2854647636413574, -0.0161875262856483, -0.0497888028621673, 0.2087220251560211]","[0.6617498397827148, 0.1277685165405273, 0.0300140380859375, -0.1025609970092773]","[-0.0458148941397666, 0.0293215326964855, 0.0018325960263609, -0.0036651920527219]","[0.0293215326964855, 0.0525344125926494, -0.0116064399480819, -0.0018325960263609]","[-0.0635299831628799, -0.0574213340878486, 0.0024434609804302, 0.0018325960263609]",0.37995949387550343,Aggressive
"[0.3085970878601074, 0.045721024274826, 0.065973974764347, 0.715085506439209]","[-0.0161875262856483, -0.0497888028621673, 0.2087220251560211, 1.0019748210906982]","[0.1277685165405273, 0.0300140380859375, -0.1025609970092773, 1.3376579284667969]","[0.0293215326964855, 0.0018325960263609, -0.0036651920527219, 0.0403171069920063]","[0.0525344125926494, -0.0116064399480819, -0.0018325960263609, 0.0317649915814399]","[-0.0574213340878486, 0.0024434609804302, 0.0018325960263609, 0.0067195179872214]",3.6729775965213776,Aggressive
"[0.045721024274826, 0.065973974764347, 0.715085506439209, -0.1429235339164734]","[-0.0497888028621673, 0.2087220251560211, 1.0019748210906982, 1.7475167512893677]","[0.0300140380859375, -0.1025609970092773, 1.3376579284667969, -0.4594993591308594]","[0.0018325960263609, -0.0036651920527219, 0.0403171069920063, 0.0006108650122769177]","[-0.0116064399480819, -0.0018325960263609, 0.0317649915814399, -0.0213802829384803]","[0.0024434609804302, 0.0018325960263609, 0.0067195179872214, -0.0183259565383195]",4.397893376648426,Aggressive
"[0.065973974764347, 0.715085506439209, -0.1429235339164734, 0.2586172521114349]","[0.2087220251560211, 1.0019748210906982, 1.7475167512893677, 0.8356049060821533]","[-0.1025609970092773, 1.3376579284667969, -0.4594993591308594, 1.1397466659545898]","[-0.0036651920527219, 0.0403171069920063, 0.0006108650122769177, 0.0219911485910415]","[-0.0018325960263609, 0.0317649915814399, -0.0213802829384803, 0.006108651868999]","[0.0018325960263609, 0.0067195179872214, -0.0183259565383195, -0.0268780700862407]",6.605915941298008,Aggressive
"[0.715085506439209, -0.1429235339164734, 0.2586172521114349, -0.0844791531562805]","[1.0019748210906982, 1.7475167512893677, 0.8356049060821533, -0.9805186986923218]","[1.3376579284667969, -0.4594993591308594, 1.1397466659545898, -0.0372228622436523]","[0.0403171069920063, 0.0006108650122769177, 0.0219911485910415, -0.0250454749912023]","[0.0317649915814399, -0.0213802829384803, 0.006108651868999, -0.0048869219608604]","[0.0067195179872214, -0.0183259565383195, -0.0268780700862407, -0.0397062413394451]",5.3315602242946625,Aggressive
"[-0.1429235339164734, 0.2586172521114349, -0.0844791531562805, -0.0199888944625854]","[1.7475167512893677, 0.8356049060821533, -0.9805186986923218, 0.6902791261672974]","[-0.4594993591308594, 1.1397466659545898, -0.0372228622436523, 0.2867622375488281]","[0.0006108650122769177, 0.0219911485910415, -0.0250454749912023, 0.0507018156349659]","[-0.0213802829384803, 0.006108651868999, -0.0048869219608604, 0.0048869219608604]","[-0.0183259565383195, -0.0268780700862407, -0.0397062413394451, -0.0458148941397666]",3.2338944375514984,Aggressive
"[0.2586172521114349, -0.0844791531562805, -0.0199888944625854, 0.3732471466064453]","[0.8356049060821533, -0.9805186986923218, 0.6902791261672974, -0.5959246158599854]","[1.1397466659545898, -0.0372228622436523, 0.2867622375488281, 0.2454910278320312]","[0.0219911485910415, -0.0250454749912023, 0.0507018156349659, -0.0140499006956815]","[0.006108651868999, -0.0048869219608604, 0.0048869219608604, -0.0006108650122769177]","[-0.0268780700862407, -0.0397062413394451, -0.0458148941397666, -0.0464257597923278]",2.1116141378879547,Aggressive
"[-0.0844791531562805, -0.0199888944625854, 0.3732471466064453, 0.1398148834705352]","[-0.9805186986923218, 0.6902791261672974, -0.5959246158599854, 0.1636660099029541]","[-0.0372228622436523, 0.2867622375488281, 0.2454910278320312, 0.6314229965209961]","[-0.0250454749912023, 0.0507018156349659, -0.0140499006956815, 0.0317649915814399]","[-0.0048869219608604, 0.0048869219608604, -0.0006108650122769177, 0.0189368221908807]","[-0.0397062413394451, -0.0458148941397666, -0.0464257597923278, -0.047036625444889]",0.8125492036342621,Aggressive
"[-0.0199888944625854, 0.3732471466064453, 0.1398148834705352, 0.0082849413156509]","[0.6902791261672974, -0.5959246158599854, 0.1636660099029541, -0.1528670787811279]","[0.2867622375488281, 0.2454910278320312, 0.6314229965209961, 0.7547092437744141]","[0.0507018156349659, -0.0140499006956815, 0.0317649915814399, 0.0097738439217209]","[0.0048869219608604, -0.0006108650122769177, 0.0189368221908807, -0.0048869219608604]","[-0.0458148941397666, -0.0464257597923278, -0.047036625444889, -0.0549778714776039]",2.524897024035454,Aggressive
"[0.3732471466064453, 0.1398148834705352, 0.0082849413156509, 0.1972795575857162]","[-0.5959246158599854, 0.1636660099029541, -0.1528670787811279, -0.0323832035064697]","[0.2454910278320312, 0.6314229965209961, 0.7547092437744141, 0.002891540993005]","[-0.0140499006956815, 0.0317649915814399, 0.0097738439217209, 0.0262672062963247]","[-0.0006108650122769177, 0.0189368221908807, -0.0048869219608604, 0.0030543259344995]","[-0.0464257597923278, -0.047036625444889, -0.0549778714776039, -0.0592539273202419]",1.735632449854165,Normal
"[0.1398148834705352, 0.0082849413156509, 0.1972795575857162, 0.3854150772094726]","[0.1636660099029541, -0.1528670787811279, -0.0323832035064697, -1.2854647636413574]","[0.6314229965209961, 0.7547092437744141, 0.002891540993005, 0.6617498397827148]","[0.0317649915814399, 0.0097738439217209, 0.0262672062963247, -0.0458148941397666]","[0.0189368221908807, -0.0048869219608604, 0.0030543259344995, 0.0293215326964855]","[-0.047036625444889, -0.0549778714776039, -0.0592539273202419, -0.0635299831628799]",1.474519044626504,Aggressive
"[0.0082849413156509, 0.1972795575857162, 0.3854150772094726, 0.3085970878601074]","[-0.1528670787811279, -0.0323832035064697, -1.2854647636413574, -0.0161875262856483]","[0.7547092437744141, 0.002891540993005, 0.6617498397827148, 0.1277685165405273]","[0.0097738439217209, 0.0262672062963247, -0.0458148941397666, 0.0293215326964855]","[-0.0048869219608604, 0.0030543259344995, 0.0293215326964855, 0.0525344125926494]","[-0.0549778714776039, -0.0592539273202419, -0.0635299831628799, -0.0574213340878486]",0.959793232847005,Aggressive
"[0.1972795575857162, 0.3854150772094726, 0.3085970878601074, 0.03975410759449]","[-0.0323832035064697, -1.2854647636413574, -0.0161875262856483, 0.1547467410564422]","[0.002891540993005, 0.6617498397827148, 0.1277685165405273, -0.1596231460571289]","[0.0262672062963247, -0.0458148941397666, 0.0293215326964855, -0.0036651920527219]","[0.0030543259344995, 0.0293215326964855, 0.0525344125926494, -0.0024434609804302]","[-0.0592539273202419, -0.0635299831628799, -0.0574213340878486, -0.0012217300245538]",0.38454382913187135,Aggressive
"[0.3854150772094726, 0.3085970878601074, 0.03975410759449, -0.1508861184120178]","[-1.2854647636413574, -0.0161875262856483, 0.1547467410564422, 0.3143553733825683]","[0.6617498397827148, 0.1277685165405273, -0.1596231460571289, 0.0879135131835937]","[-0.0458148941397666, 0.0293215326964855, -0.0036651920527219, 0.0109955742955207]","[0.0293215326964855, 0.0525344125926494, -0.0024434609804302, -0.0207694191485643]","[-0.0635299831628799, -0.0574213340878486, -0.0012217300245538, -0.0103847095742821]",0.4681387022137642,Aggressive
"[0.3085970878601074, 0.03975410759449, -0.1508861184120178, -0.0112857297062873]","[-0.0161875262856483, 0.1547467410564422, 0.3143553733825683, 1.1082061529159546]","[0.1277685165405273, -0.1596231460571289, 0.0879135131835937, -0.0488739013671875]","[0.0293215326964855, -0.0036651920527219, 0.0109955742955207, 0.0183259565383195]","[0.0525344125926494, -0.0024434609804302, -0.0207694191485643, -0.0067195179872214]","[-0.0574213340878486, -0.0012217300245538, -0.0103847095742821, -0.0109955742955207]",1.7544850707054138,Aggressive
"[0.03975410759449, -0.1508861184120178, -0.0112857297062873, -0.0549095422029495]","[0.1547467410564422, 0.3143553733825683, 1.1082061529159546, -0.0955035686492919]","[-0.1596231460571289, 0.0879135131835937, -0.0488739013671875, 0.0925207138061523]","[-0.0036651920527219, 0.0109955742955207, 0.0183259565383195, 0.0189368221908807]","[-0.0024434609804302, -0.0207694191485643, -0.0067195179872214, -0.0079412478953599]","[-0.0012217300245538, -0.0103847095742821, -0.0109955742955207, -0.0268780700862407]",1.2764145955443382,Aggressive
"[-0.1508861184120178, -0.0112857297062873, -0.0549095422029495, 0.0205722451210021]","[0.3143553733825683, 1.1082061529159546, -0.0955035686492919, 0.2236497402191162]","[0.0879135131835937, -0.0488739013671875, 0.0925207138061523, 0.2744522094726562]","[0.0109955742955207, 0.0183259565383195, 0.0189368221908807, 0.0134390350431203]","[-0.0207694191485643, -0.0067195179872214, -0.0079412478953599, -0.0036651920527219]","[-0.0103847095742821, -0.0109955742955207, -0.0268780700862407, -0.0366519130766391]",1.7602110877633093,Aggressive
"[-0.0112857297062873, -0.0549095422029495, 0.0205722451210021, 0.0527945458889007]","[1.1082061529159546, -0.0955035686492919, 0.2236497402191162, -0.8551771640777588]","[-0.0488739013671875, 0.0925207138061523, 0.2744522094726562, 0.6103782653808594]","[0.0183259565383195, 0.0189368221908807, 0.0134390350431203, 0.0103847095742821]","[-0.0067195179872214, -0.0079412478953599, -0.0036651920527219, 0.0164933614432811]","[-0.0109955742955207, -0.0268780700862407, -0.0366519130766391, -0.0543670058250427]",1.3168239668011663,Aggressive
"[-0.0549095422029495, 0.0205722451210021, 0.0527945458889007, 0.2555896341800689]","[-0.0955035686492919, 0.2236497402191162, -0.8551771640777588, -0.2521573305130005]","[0.0925207138061523, 0.2744522094726562, 0.6103782653808594, 0.3754472732543945]","[0.0189368221908807, 0.0134390350431203, 0.0103847095742821, -0.0012217300245538]","[-0.0079412478953599, -0.0036651920527219, 0.0164933614432811, 0.0122173046693205]","[-0.0268780700862407, -0.0366519130766391, -0.0543670058250427, -0.0531452745199203]",0.6476570218801496,Aggressive
"[0.0205722451210021, 0.0527945458889007, 0.2555896341800689, 0.2105585187673568]","[0.2236497402191162, -0.8551771640777588, -0.2521573305130005, 0.1862282752990722]","[0.2744522094726562, 0.6103782653808594, 0.3754472732543945, 0.507232666015625]","[0.0134390350431203, 0.0103847095742821, -0.0012217300245538, 0.0384845100343227]","[-0.0036651920527219, 0.0164933614432811, 0.0122173046693205, 0.0219911485910415]","[-0.0366519130766391, -0.0543670058250427, -0.0531452745199203, -0.0647517144680023]",1.6095688790082927,Aggressive
"[0.0527945458889007, 0.2555896341800689, 0.2105585187673568, 0.3831858932971954]","[-0.8551771640777588, -0.2521573305130005, 0.1862282752990722, -0.1906410455703735]","[0.6103782653808594, 0.3754472732543945, 0.507232666015625, 0.4573621749877929]","[0.0103847095742821, -0.0012217300245538, 0.0384845100343227, -0.0042760567739605]","[0.0164933614432811, 0.0122173046693205, 0.0219911485910415, 0.0201585534960031]","[-0.0543670058250427, -0.0531452745199203, -0.0647517144680023, -0.0696386396884918]",1.7408017069101331,Aggressive
"[0.2555896341800689, 0.2105585187673568, 0.3831858932971954, 0.1657916605472564]","[-0.2521573305130005, 0.1862282752990722, -0.1906410455703735, 0.2888405323028564]","[0.3754472732543945, 0.507232666015625, 0.4573621749877929, -0.2082939147949218]","[-0.0012217300245538, 0.0384845100343227, -0.0042760567739605, 0.0342084541916847]","[0.0122173046693205, 0.0219911485910415, 0.0201585534960031, 0.0164933614432811]","[-0.0531452745199203, -0.0647517144680023, -0.0696386396884918, -0.0714712366461753]",2.179144337773323,Normal
"[0.2105585187673568, 0.3831858932971954, 0.1657916605472564, 0.1190695911645889]","[0.1862282752990722, -0.1906410455703735, 0.2888405323028564, 0.0887019634246826]","[0.507232666015625, 0.4573621749877929, -0.2082939147949218, -0.0561227798461914]","[0.0384845100343227, -0.0042760567739605, 0.0342084541916847, -0.0140499006956815]","[0.0219911485910415, 0.0201585534960031, 0.0164933614432811, 0.0177150927484035]","[-0.0647517144680023, -0.0696386396884918, -0.0714712366461753, -0.0726929605007171]",1.9519135355949397,Normal
"[0.3831858932971954, 0.1657916605472564, 0.1190695911645889, 0.2626000642776489]","[-0.1906410455703735, 0.2888405323028564, 0.0887019634246826, 0.2091708183288574]","[0.4573621749877929, -0.2082939147949218, -0.0561227798461914, 0.4839696884155273]","[-0.0042760567739605, 0.0342084541916847, -0.0140499006956815, 0.0378736443817615]","[0.0201585534960031, 0.0164933614432811, 0.0177150927484035, 0.0103847095742821]","[-0.0696386396884918, -0.0714712366461753, -0.0726929605007171, -0.0714712366461753]",2.0036346465349197,Normal
"[0.1657916605472564, 0.1190695911645889, 0.2626000642776489, 0.3063076734542846]","[0.2888405323028564, 0.0887019634246826, 0.2091708183288574, 0.0310173034667968]","[-0.2082939147949218, -0.0561227798461914, 0.4839696884155273, 0.8128623962402344]","[0.0342084541916847, -0.0140499006956815, 0.0378736443817615, 0.0067195179872214]","[0.0164933614432811, 0.0177150927484035, 0.0103847095742821, -0.0018325960263609]","[-0.0714712366461753, -0.0726929605007171, -0.0714712366461753, -0.0836885422468185]",2.5039149969816203,Normal
"[0.1190695911645889, 0.2626000642776489, 0.3063076734542846, 0.0748627185821533]","[0.0887019634246826, 0.2091708183288574, 0.0310173034667968, 0.936025857925415]","[-0.0561227798461914, 0.4839696884155273, 0.8128623962402344, 0.273076057434082]","[-0.0140499006956815, 0.0378736443817615, 0.0067195179872214, 0.0183259565383195]","[0.0177150927484035, 0.0103847095742821, -0.0018325960263609, 0.0109955742955207]","[-0.0726929605007171, -0.0714712366461753, -0.0836885422468185, -0.0751364231109619]",3.54154135286808,Aggressive
"[0.2626000642776489, 0.3063076734542846, 0.0748627185821533, 0.0391425788402557]","[0.2091708183288574, 0.0310173034667968, 0.936025857925415, -0.6473538875579834]","[0.4839696884155273, 0.8128623962402344, 0.273076057434082, 0.2845449447631836]","[0.0378736443817615, 0.0067195179872214, 0.0183259565383195, 0.0036651920527219]","[0.0103847095742821, -0.0018325960263609, 0.0109955742955207, 0.0042760567739605]","[-0.0714712366461753, -0.0836885422468185, -0.0751364231109619, -0.0855211317539215]",3.066226214170456,Aggressive
"[0.3063076734542846, 0.0748627185821533, 0.0391425788402557, 0.007146983873099]","[0.0310173034667968, 0.936025857925415, -0.6473538875579834, -1.248517990112305]","[0.8128623962402344, 0.273076057434082, 0.2845449447631836, 0.3469696044921875]","[0.0067195179872214, 0.0183259565383195, 0.0036651920527219, -0.0103847095742821]","[-0.0018325960263609, 0.0109955742955207, 0.0042760567739605, 0.0335975885391235]","[-0.0836885422468185, -0.0751364231109619, -0.0855211317539215, -0.0940732508897781]",1.2160842414014037,Aggressive
