sensor_data,label
$$$0.9480900232691144/0.6571609099218534/0.5162223841293282/0.3435114611314079/0.5454545528045252/1.0 $$$1.0/0.4956037531490986/0.6086395773571097/0.31297710901467424/0.37878787843787975/0.8800000022360739 $$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444 $$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291,Normal
$$$0.9532251714291355/0.6622960580818745/0.5213575322893493/0.34864660929142904/0.5505897009645463/1.0051351481600213 $$$1.0051351481600213/0.5007389013091198/0.6137747255171309/0.3181122571746954/0.3839230265979009/0.885135150396095 $$$0.9443172548866222/0.9575577273790457/0.34725094368659315/0.508951956267668/0.05058970096454629/0.8718018229578656 $$$0.5534564325753594/0.73484137840529/0.5970320423751456/0.7532267673824694/0.09604423066913531/0.6851351371829312,Normal
$$$1.0/0.4956037531490986/0.6086395773571097/0.31297710901467424/0.37878787843787975/0.8800000022360739 $$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444 $$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291 $$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998,Normal
$$$1.0002667230831903/0.49587047623228897/0.6089063004403001/0.3132438320978646/0.3790546015210701/0.8802667253192642 $$$0.9394488298097914/0.9526893023022149/0.3423825186097624/0.5040835311908372/0.0457212758877155/0.8669333978810347 $$$0.5485880074985285/0.7299729533284591/0.5921636172983149/0.7483583423056386/0.09117580559230451/0.6802667121061003 $$$0.945460671709651/0.5388754222951204/0.752256437988736/0.6109537625083297/0.00026672308319036775/0.13360006861329035,Normal
$$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444 $$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291 $$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998 $$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769,Normal
$$$0.9452499685949617/0.9584904410873851/0.3481836573949326/0.5098846699760075/0.051522414672885736/0.872734536666205 $$$0.5543891462836988/0.7357740921136294/0.5979647560834851/0.7541594810908089/0.09697694437747474/0.6860678508912706 $$$0.9512618104948213/0.5446765610802906/0.7580575767739063/0.6167549012935/0.006067861868360605/0.1394012073984606 $$$0.46401456991313517/0.4035652765010328/0.4832359650068173/0.334312140758642/0.2939466346971901/0.019401204552548373,Normal
$$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291 $$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998 $$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769 $$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0,Aggressive
$$$0.5511644505116076/0.7325493963415382/0.5947400603113938/0.7509347853187176/0.09375224860538345/0.6828431551191794 $$$0.94803711472273/0.5414518653081993/0.754832881001815/0.6135302055214087/0.0028431660962693114/0.1361765116263693 $$$0.4607898741410439/0.4003405807289415/0.48001126923472603/0.33108744498655074/0.29072193892509884/0.01617650878045708 $$$0.5234981367719846/0.0028431660962693114/0.6812591700691648/0.0028431660962693114/0.911934060487219/0.0028431660962693114,Aggressive
$$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998 $$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769 $$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0 $$$0.0/1.0/0.4887298496442037/1.0/0.39393938785816074/0.026666604056597834,Aggressive
$$$0.9469135750558588/0.5403283256413282/0.7537093413349438/0.6124066658545375/0.0017196264293981682/0.13505297195949814 $$$0.4596663344741727/0.39921704106207034/0.47888772956785486/0.32996390531967956/0.28959839925822767/0.015052969113585937 $$$0.5223745971051135/0.0017196264293981682/0.6801356304022936/0.0017196264293981682/0.9108105208203479/0.0017196264293981682 $$$0.0017196264293981682/1.0017196264293982/0.49044947607360184/1.0017196264293982/0.3956590142875589/0.028386230485996002,Aggressive
