accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,label
"[0.0752258449792862, 0.045721024274826, 0.065973974764347, 0.715085506439209]","[-0.0962684154510498, -0.0497888028621673, 0.2087220251560211, 1.0019748210906982]","[0.2704200744628906, 0.0300140380859375, -0.1025609970092773, 1.3376579284667969]","[0.0122173046693205, 0.0018325960263609, -0.0036651920527219, 0.0403171069920063]","[0.0116064399480819, -0.0116064399480819, -0.0018325960263609, 0.0317649915814399]","[-0.0280998013913631, 0.0024434609804302, 0.0018325960263609, 0.0067195179872214]",Normal
"[0.045721024274826, 0.065973974764347, 0.715085506439209, -0.1429235339164734]","[-0.0497888028621673, 0.2087220251560211, 1.0019748210906982, 1.7475167512893677]","[0.0300140380859375, -0.1025609970092773, 1.3376579284667969, -0.4594993591308594]","[0.0018325960263609, -0.0036651920527219, 0.0403171069920063, 0.0006108650122769177]","[-0.0116064399480819, -0.0018325960263609, 0.0317649915814399, -0.0213802829384803]","[0.0024434609804302, 0.0018325960263609, 0.0067195179872214, -0.0183259565383195]",Aggressive
"[0.065973974764347, 0.715085506439209, -0.1429235339164734, 0.2586172521114349]","[0.2087220251560211, 1.0019748210906982, 1.7475167512893677, 0.8356049060821533]","[-0.1025609970092773, 1.3376579284667969, -0.4594993591308594, 1.1397466659545898]","[-0.0036651920527219, 0.0403171069920063, 0.0006108650122769177, 0.0219911485910415]","[-0.0018325960263609, 0.0317649915814399, -0.0213802829384803, 0.006108651868999]","[0.0018325960263609, 0.0067195179872214, -0.0183259565383195, -0.0268780700862407]",Aggressive
"[0.715085506439209, -0.1429235339164734, 0.2586172521114349, -0.0844791531562805]","[1.0019748210906982, 1.7475167512893677, 0.8356049060821533, -0.9805186986923218]","[1.3376579284667969, -0.4594993591308594, 1.1397466659545898, -0.0372228622436523]","[0.0403171069920063, 0.0006108650122769177, 0.0219911485910415, -0.0250454749912023]","[0.0317649915814399, -0.0213802829384803, 0.006108651868999, -0.0048869219608604]","[0.0067195179872214, -0.0183259565383195, -0.0268780700862407, -0.0397062413394451]",Aggressive
"[-0.1429235339164734, 0.2586172521114349, -0.0844791531562805, -0.0199888944625854]","[1.7475167512893677, 0.8356049060821533, -0.9805186986923218, 0.6902791261672974]","[-0.4594993591308594, 1.1397466659545898, -0.0372228622436523, 0.2867622375488281]","[0.0006108650122769177, 0.0219911485910415, -0.0250454749912023, 0.0507018156349659]","[-0.0213802829384803, 0.006108651868999, -0.0048869219608604, 0.0048869219608604]","[-0.0183259565383195, -0.0268780700862407, -0.0397062413394451, -0.0458148941397666]",Normal
"[0.2586172521114349, -0.0844791531562805, -0.0199888944625854, 0.3732471466064453]","[0.8356049060821533, -0.9805186986923218, 0.6902791261672974, -0.5959246158599854]","[1.1397466659545898, -0.0372228622436523, 0.2867622375488281, 0.2454910278320312]","[0.0219911485910415, -0.0250454749912023, 0.0507018156349659, -0.0140499006956815]","[0.006108651868999, -0.0048869219608604, 0.0048869219608604, -0.0006108650122769177]","[-0.0268780700862407, -0.0397062413394451, -0.0458148941397666, -0.0464257597923278]",Normal
"[-0.0844791531562805, -0.0199888944625854, 0.3732471466064453, 0.1398148834705352]","[-0.9805186986923218, 0.6902791261672974, -0.5959246158599854, 0.1636660099029541]","[-0.0372228622436523, 0.2867622375488281, 0.2454910278320312, 0.6314229965209961]","[-0.0250454749912023, 0.0507018156349659, -0.0140499006956815, 0.0317649915814399]","[-0.0048869219608604, 0.0048869219608604, -0.0006108650122769177, 0.0189368221908807]","[-0.0397062413394451, -0.0458148941397666, -0.0464257597923278, -0.047036625444889]",Normal
"[-0.0199888944625854, 0.3732471466064453, 0.1398148834705352, 0.0082849413156509]","[0.6902791261672974, -0.5959246158599854, 0.1636660099029541, -0.1528670787811279]","[0.2867622375488281, 0.2454910278320312, 0.6314229965209961, 0.7547092437744141]","[0.0507018156349659, -0.0140499006956815, 0.0317649915814399, 0.0097738439217209]","[0.0048869219608604, -0.0006108650122769177, 0.0189368221908807, -0.0048869219608604]","[-0.0458148941397666, -0.0464257597923278, -0.047036625444889, -0.0549778714776039]",Normal
"[0.3732471466064453, 0.1398148834705352, 0.0082849413156509, 0.1972795575857162]","[-0.5959246158599854, 0.1636660099029541, -0.1528670787811279, -0.0323832035064697]","[0.2454910278320312, 0.6314229965209961, 0.7547092437744141, 0.002891540993005]","[-0.0140499006956815, 0.0317649915814399, 0.0097738439217209, 0.0262672062963247]","[-0.0006108650122769177, 0.0189368221908807, -0.0048869219608604, 0.0030543259344995]","[-0.0464257597923278, -0.047036625444889, -0.0549778714776039, -0.0592539273202419]",Normal
"[0.1398148834705352, 0.0082849413156509, 0.1972795575857162, 0.3854150772094726]","[0.1636660099029541, -0.1528670787811279, -0.0323832035064697, -1.2854647636413574]","[0.6314229965209961, 0.7547092437744141, 0.002891540993005, 0.6617498397827148]","[0.0317649915814399, 0.0097738439217209, 0.0262672062963247, -0.0458148941397666]","[0.0189368221908807, -0.0048869219608604, 0.0030543259344995, 0.0293215326964855]","[-0.047036625444889, -0.0549778714776039, -0.0592539273202419, -0.0635299831628799]",Normal
"[0.0082849413156509, 0.1972795575857162, 0.3854150772094726, 0.3085970878601074]","[-0.1528670787811279, -0.0323832035064697, -1.2854647636413574, -0.0161875262856483]","[0.7547092437744141, 0.002891540993005, 0.6617498397827148, 0.1277685165405273]","[0.0097738439217209, 0.0262672062963247, -0.0458148941397666, 0.0293215326964855]","[-0.0048869219608604, 0.0030543259344995, 0.0293215326964855, 0.0525344125926494]","[-0.0549778714776039, -0.0592539273202419, -0.0635299831628799, -0.0574213340878486]",Normal
"[0.1972795575857162, 0.3854150772094726, 0.3085970878601074, 0.045721024274826]","[-0.0323832035064697, -1.2854647636413574, -0.0161875262856483, -0.0497888028621673]","[0.002891540993005, 0.6617498397827148, 0.1277685165405273, 0.0300140380859375]","[0.0262672062963247, -0.0458148941397666, 0.0293215326964855, 0.0018325960263609]","[0.0030543259344995, 0.0293215326964855, 0.0525344125926494, -0.0116064399480819]","[-0.0592539273202419, -0.0635299831628799, -0.0574213340878486, 0.0024434609804302]",Normal
"[0.3854150772094726, 0.3085970878601074, 0.045721024274826, 0.065973974764347]","[-1.2854647636413574, -0.0161875262856483, -0.0497888028621673, 0.2087220251560211]","[0.6617498397827148, 0.1277685165405273, 0.0300140380859375, -0.1025609970092773]","[-0.0458148941397666, 0.0293215326964855, 0.0018325960263609, -0.0036651920527219]","[0.0293215326964855, 0.0525344125926494, -0.0116064399480819, -0.0018325960263609]","[-0.0635299831628799, -0.0574213340878486, 0.0024434609804302, 0.0018325960263609]",Normal
