sensor_data,label
$$$0.48483689748263864/0.1859478847119744/0.16391035627595793/0.0674687594021325/0.7866452538822757/0.012099812187665853 $$$0.38790979239840123/0.6544085274124236/0.9987664695034781/0.8002931927465369/0.892705884792813/0.17209976177436367 $$$0.3546916945247788/0.40831486755088975/-0.0012335304965219156/0.6323542644694118/0.9987664695034781/0.09209978698101476 $$$0.45445387978689905/0.49091811400564656/0.8425615974790658/0.38044586623465626/0.7260391988761996/0.10543312966520253,Normal
$$$0.38914332289492315/0.6556420579089455/1.0/0.8015267232430587/0.8939394152893348/0.1733332922708856 $$$0.3559252250213007/0.40954839804741167/0.0/0.6335877949659336/1.0/0.09333331747753668 $$$0.45568741028342097/0.4921516445021685/0.8437951279755876/0.3816793967311782/0.7272727293727215/0.10666666016172445 $$$0.691704803138625/0.3855378640574225/0.7349170462045126/0.47328244798969477/0.6666666743666454/0.31999998048517336,Normal
$$$0.39146827178187527/0.6579670067958976/1.0023249488869521/0.8038516721300109/0.896264364176287/0.17565824115783774 $$$0.3582501739082528/0.4118733469343638/0.0023249488869521422/0.6359127438528858/1.0023249488869521/0.09565826636448882 $$$0.4580123591703731/0.4944765933891206/0.8461200768625398/0.3840043456181303/0.7295976782596736/0.1089916090486766 $$$0.6940297520255772/0.38786281294437464/0.7372419950914647/0.4756073968766469/0.6689916232535975/0.3223249293721255,Normal
$$$0.21986313583956876/0.4074129547760905/0.2723820561477689/0.493670891572409/0.13223139079673357/0.9391304288744396 $$$0.24346772452913001/0.4926461903713602/0.19861275614819343/0.4367088578280485/0.26446279419343216/0.930434780591272 $$$1.0/0.7541884358580742/1.0/0.8924050698868908/0.7190082315571162/1.0 $$$0.0/1.0/0.0/0.48101265843396535/0.0/0.6434782579875316,Aggressive
$$$0.2264160305970287/0.4139658495335505/0.27893495090522885/0.500223786329869/0.1387842855541935/0.9456833236318996 $$$0.25002061928659/0.49919908512882016/0.20516565090565336/0.4432617525855085/0.2710156889508921/0.936987675348732 $$$1.00655289475746/0.7607413306155341/1.00655289475746/0.8989579646443507/0.7255611263145761/1.00655289475746 $$$0.006552894757459944/1.00655289475746/0.006552894757459944/0.4875655531914253/0.006552894757459944/0.6500311527449915,Aggressive
$$$0.24346772452913001/0.4926461903713602/0.19861275614819343/0.4367088578280485/0.26446279419343216/0.930434780591272 $$$1.0/0.7541884358580742/1.0/0.8924050698868908/0.7190082315571162/1.0 $$$0.0/1.0/0.0/0.48101265843396535/0.0/0.6434782579875316 $$$0.4679913231001063/0.6993348489866933/0.8898753804811574/0.7025316433710364/0.37190080551576066/0.5217391223650882,Aggressive
$$$0.24643738592428058/0.49561585176651074/0.201582417543344/0.43967851922319906/0.2674324555885827/0.9334044419864226 $$$1.0029696613951506/0.7571580972532247/1.0029696613951506/0.8953747312820414/0.7219778929522668/1.0029696613951506 $$$0.0029696613951505618/1.0029696613951506/0.0029696613951505618/0.4839823198291159/0.0029696613951505618/0.6464479193826821 $$$0.47096098449525686/0.7023045103818438/0.892845041876308/0.7055013047661869/0.3748704669109112/0.5247087837602388,Aggressive
$$$1.0/0.7541884358580742/1.0/0.8924050698868908/0.7190082315571162/1.0 $$$0.0/1.0/0.0/0.48101265843396535/0.0/0.6434782579875316 $$$0.4679913231001063/0.6993348489866933/0.8898753804811574/0.7025316433710364/0.37190080551576066/0.5217391223650882 $$$0.06811627618278371/0.10054333119006852/0.23496913698170718/0.2151898795248989/0.2231404845694529/0.3391304056740684,Aggressive
$$$0.9948055957457556/0.7489940316038297/0.9948055957457556/0.8872106656326464/0.7138138273028718/0.9948055957457556 $$$-0.005194404254244445/0.9948055957457556/-0.005194404254244445/0.4758182541797209/-0.005194404254244445/0.6382838537332871 $$$0.4627969188458619/0.6941404447324488/0.884680976226913/0.6973372391167919/0.3667064012615162/0.5165447181108438 $$$0.06292187192853926/0.09534892693582407/0.22977473272746274/0.20999547527065446/0.21794608031520846/0.33393600141982394,Aggressive
$$$0.0/1.0/0.0/0.48101265843396535/0.0/0.6434782579875316 $$$0.4679913231001063/0.6993348489866933/0.8898753804811574/0.7025316433710364/0.37190080551576066/0.5217391223650882 $$$0.06811627618278371/0.10054333119006852/0.23496913698170718/0.2151898795248989/0.2231404845694529/0.3391304056740684 $$$0.1432789558987935/0.6514196938169542/0.4152455668903917/1.0/0.35537188796615143/0.25217387644165035,Aggressive
$$$0.0026736880872076235/1.0026736880872076/0.0026736880872076235/0.483686346521173/0.0026736880872076235/0.6461519460747391 $$$0.47066501118731396/0.7020085370739009/0.892549068568365/0.7052053314582439/0.3745744936029683/0.5244128104522958 $$$0.07078996426999133/0.10321701927727614/0.23764282506891482/0.2178635676121065/0.22581417265666054/0.341804093761276 $$$0.1459526439860011/0.6540933819041618/0.41791925497759935/1.0026736880872076/0.35804557605335907/0.254847564528858,Aggressive
$$$0.4679913231001063/0.6993348489866933/0.8898753804811574/0.7025316433710364/0.37190080551576066/0.5217391223650882 $$$0.06811627618278371/0.10054333119006852/0.23496913698170718/0.2151898795248989/0.2231404845694529/0.3391304056740684 $$$0.1432789558987935/0.6514196938169542/0.4152455668903917/1.0/0.35537188796615143/0.25217387644165035 $$$0.6015911910542846/0.22734729650903313/0.3922808492212076/0.32911392771493936/0.28099172670549977/0.24347821821546656,Normal
$$$0.4722207287805432/0.7035642546671302/0.8941047861615944/0.7067610490514733/0.37613021119619755/0.5259685280455252 $$$0.07234568186322062/0.10477273687050542/0.2391985426621441/0.21941928520533582/0.22736989024988982/0.3433598113545053 $$$0.14750836157923042/0.6556490994973911/0.4194749725708286/1.0042294056804368/0.3596012936465883/0.25640328212208724 $$$0.6058205967347216/0.23157670218947005/0.3965102549016445/0.33334333339537625/0.28522113238593666/0.24770762389590348,Normal
$$$0.06811627618278371/0.10054333119006852/0.23496913698170718/0.2151898795248989/0.2231404845694529/0.3391304056740684 $$$0.1432789558987935/0.6514196938169542/0.4152455668903917/1.0/0.35537188796615143/0.25217387644165035 $$$0.6015911910542846/0.22734729650903313/0.3922808492212076/0.32911392771493936/0.28099172670549977/0.24347821821546656 $$$0.3295284829047969/0.4777908359845083/0.607026643232848/0.8037974554072144/0.545454524836421/0.23478255998928274,Normal
$$$0.06639701112648536/0.09882406613377016/0.23324987192540883/0.21347061446860055/0.22142121951315455/0.33741114061777006 $$$0.14155969084249515/0.6497004287606558/0.4135263018340934/0.9982807349437016/0.3536526229098531/0.250454611385352 $$$0.5998719259979862/0.22562803145273477/0.39056158416490927/0.32739466265864103/0.27927246164920144/0.2417589531591682 $$$0.3278092178484986/0.47607157092820995/0.6053073781765497/0.802078190350916/0.5437352597801226/0.2330632949329844,Normal
$$$0.1432789558987935/0.6514196938169542/0.4152455668903917/1.0/0.35537188796615143/0.25217387644165035 $$$0.6015911910542846/0.22734729650903313/0.3922808492212076/0.32911392771493936/0.28099172670549977/0.24347821821546656 $$$0.3295284829047969/0.4777908359845083/0.607026643232848/0.8037974554072144/0.545454524836421/0.23478255998928274 $$$0.17623179724241808/0.3734271637610355/0.6756273428511995/0.5759493686764737/0.2231404845694529/0.12173910910773328,Normal
$$$0.14608653603931038/0.654227273957471/0.41805314703090857/1.002807580140517/0.3581794681066683/0.2549814565821672 $$$0.6043987711948015/0.23015487664955/0.39508842936172445/0.3319215078554562/0.2837993068460166/0.24628579835598344 $$$0.33233606304531377/0.48059841612502513/0.6098342233733649/0.8066050355477312/0.5482621049769378/0.23759014012979962 $$$0.17903937738293496/0.37623474390155237/0.6784349229917164/0.5787569488169906/0.22594806470996978/0.12454668924825016,Normal
$$$0.6015911910542846/0.22734729650903313/0.3922808492212076/0.32911392771493936/0.28099172670549977/0.24347821821546656 $$$0.3295284829047969/0.4777908359845083/0.607026643232848/0.8037974554072144/0.545454524836421/0.23478255998928274 $$$0.17623179724241808/0.3734271637610355/0.6756273428511995/0.5759493686764737/0.2231404845694529/0.12173910910773328 $$$0.3965029218819892/0.41315173006041506/0.25729016781940317/0.7468354506108746/0.3305784958917814/0.06086955455386664,Normal
$$$0.5951501024868422/0.22090620794159077/0.38583976065376524/0.322672839147497/0.2745506381380574/0.2370371296480242 $$$0.32308739433735456/0.4713497474170659/0.6005855546654056/0.797356366839772/0.5390134362689786/0.2283414714218404 $$$0.16979070867497573/0.36698607519359316/0.6691862542837571/0.5695082801090313/0.21669939600201055/0.11529802054029092 $$$0.39006183331454686/0.4067106414929727/0.2508490792519608/0.7403943620434322/0.32413740732433904/0.05442846598642428,Normal
