accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.2198631358395687, 0.24346772452913, 1.0, 0.0]","[0.4074129547760905, 0.4926461903713602, 0.7541884358580742, 1.0]","[0.2723820561477689, 0.1986127561481934, 1.0, 0.0]","[0.493670891572409, 0.4367088578280485, 0.8924050698868908, 0.4810126584339653]","[0.1322313907967335, 0.2644627941934321, 0.7190082315571162, 0.0]","[0.9391304288744396, 0.930434780591272, 1.0, 0.6434782579875316]"
"[0.24346772452913, 1.0, 0.0, 0.4679913231001063]","[0.4926461903713602, 0.7541884358580742, 1.0, 0.6993348489866933]","[0.1986127561481934, 1.0, 0.0, 0.8898753804811574]","[0.4367088578280485, 0.8924050698868908, 0.4810126584339653, 0.7025316433710364]","[0.2644627941934321, 0.7190082315571162, 0.0, 0.3719008055157606]","[0.930434780591272, 1.0, 0.6434782579875316, 0.5217391223650882]"
"[1.0, 0.0, 0.4679913231001063, 0.0681162761827837]","[0.7541884358580742, 1.0, 0.6993348489866933, 0.1005433311900685]","[1.0, 0.0, 0.8898753804811574, 0.2349691369817071]","[0.8924050698868908, 0.4810126584339653, 0.7025316433710364, 0.2151898795248989]","[0.7190082315571162, 0.0, 0.3719008055157606, 0.2231404845694529]","[1.0, 0.6434782579875316, 0.5217391223650882, 0.3391304056740684]"
"[0.0, 0.4679913231001063, 0.0681162761827837, 0.1432789558987935]","[1.0, 0.6993348489866933, 0.1005433311900685, 0.6514196938169542]","[0.0, 0.8898753804811574, 0.2349691369817071, 0.4152455668903917]","[0.4810126584339653, 0.7025316433710364, 0.2151898795248989, 1.0]","[0.0, 0.3719008055157606, 0.2231404845694529, 0.3553718879661514]","[0.6434782579875316, 0.5217391223650882, 0.3391304056740684, 0.2521738764416503]"
"[0.4679913231001063, 0.0681162761827837, 0.1432789558987935, 0.6015911910542846]","[0.6993348489866933, 0.1005433311900685, 0.6514196938169542, 0.2273472965090331]","[0.8898753804811574, 0.2349691369817071, 0.4152455668903917, 0.3922808492212076]","[0.7025316433710364, 0.2151898795248989, 1.0, 0.3291139277149393]","[0.3719008055157606, 0.2231404845694529, 0.3553718879661514, 0.2809917267054997]","[0.5217391223650882, 0.3391304056740684, 0.2521738764416503, 0.2434782182154665]"
"[0.0681162761827837, 0.1432789558987935, 0.6015911910542846, 0.3295284829047969]","[0.1005433311900685, 0.6514196938169542, 0.2273472965090331, 0.4777908359845083]","[0.2349691369817071, 0.4152455668903917, 0.3922808492212076, 0.607026643232848]","[0.2151898795248989, 1.0, 0.3291139277149393, 0.8037974554072144]","[0.2231404845694529, 0.3553718879661514, 0.2809917267054997, 0.545454524836421]","[0.3391304056740684, 0.2521738764416503, 0.2434782182154665, 0.2347825599892827]"
"[0.1432789558987935, 0.6015911910542846, 0.3295284829047969, 0.176231797242418]","[0.6514196938169542, 0.2273472965090331, 0.4777908359845083, 0.3734271637610355]","[0.4152455668903917, 0.3922808492212076, 0.607026643232848, 0.6756273428511995]","[1.0, 0.3291139277149393, 0.8037974554072144, 0.5759493686764737]","[0.3553718879661514, 0.2809917267054997, 0.545454524836421, 0.2231404845694529]","[0.2521738764416503, 0.2434782182154665, 0.2347825599892827, 0.1217391091077332]"
"[0.6015911910542846, 0.3295284829047969, 0.176231797242418, 0.3965029218819892]","[0.2273472965090331, 0.4777908359845083, 0.3734271637610355, 0.413151730060415]","[0.3922808492212076, 0.607026643232848, 0.6756273428511995, 0.2572901678194031]","[0.3291139277149393, 0.8037974554072144, 0.5759493686764737, 0.7468354506108746]","[0.2809917267054997, 0.545454524836421, 0.2231404845694529, 0.3305784958917814]","[0.2434782182154665, 0.2347825599892827, 0.1217391091077332, 0.0608695545538666]"
"[0.3295284829047969, 0.176231797242418, 0.3965029218819892, 0.6157727789289102]","[0.4777908359845083, 0.3734271637610355, 0.413151730060415, 0.0]","[0.607026643232848, 0.6756273428511995, 0.2572901678194031, 0.6239015397547091]","[0.8037974554072144, 0.5759493686764737, 0.7468354506108746, 0.0]","[0.545454524836421, 0.2231404845694529, 0.3305784958917814, 0.6859504090578629]","[0.2347825599892827, 0.1217391091077332, 0.0608695545538666, 0.0]"
"[0.176231797242418, 0.3965029218819892, 0.6157727789289102, 0.5262422661530533]","[0.3734271637610355, 0.413151730060415, 0.0, 0.4184915836470899]","[0.6756273428511995, 0.2572901678194031, 0.6239015397547091, 0.3267760032603574]","[0.5759493686764737, 0.7468354506108746, 0.0, 0.7784810216968504]","[0.2231404845694529, 0.3305784958917814, 0.6859504090578629, 1.0]","[0.1217391091077332, 0.0608695545538666, 0.0, 0.086956476202998]"
"[0.3965029218819892, 0.6157727789289102, 0.5262422661530533, 0.4397941025462734]","[0.413151730060415, 0.0, 0.4184915836470899, 0.6317942676369269]","[0.2572901678194031, 0.6239015397547091, 0.3267760032603574, 0.1629388852750321]","[0.7468354506108746, 0.0, 0.7784810216968504, 0.363013708893765]","[0.3305784958917814, 0.6859504090578629, 1.0, 0.3802816722969345]","[0.0608695545538666, 0.0, 0.086956476202998, 1.0]"
