accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.0684814232483098, 0.902688448900528, 0.0, 0.5259376028118972]","[0.642752604664959, 0.6078556602693188, 0.8814287050545473, 0.4303914537398557]","[0.3492296556831631, 0.8021045189207572, 0.0, 1.0]","[0.7346938978704984, 0.5918367372338124, 0.6122448941492815, 0.3945578252546832]","[0.0413223411238916, 0.0, 0.1652892636958469, 0.5537190056611643]","[0.1242236126009984, 0.0, 0.0186334774972829, 0.4099378685538751]"
"[0.902688448900528, 0.0, 0.5259376028118972, 0.5823601439782358]","[0.6078556602693188, 0.8814287050545473, 0.4303914537398557, 0.4520014519514073]","[0.8021045189207572, 0.0, 1.0, 0.2222279989293836]","[0.5918367372338124, 0.6122448941492815, 0.3945578252546832, 0.134615383487725]","[0.0, 0.1652892636958469, 0.5537190056611643, 0.3307086676559813]","[0.0, 0.0186334774972829, 0.4099378685538751, 0.8558558569695124]"
"[0.0, 0.5259376028118972, 0.5823601439782358, 0.3772245915051286]","[0.8814287050545473, 0.4303914537398557, 0.4520014519514073, 1.0]","[0.0, 1.0, 0.2222279989293836, 0.2619457490174784]","[0.6122448941492815, 0.3945578252546832, 0.134615383487725, 0.4326923082561374]","[0.1652892636958469, 0.5537190056611643, 0.3307086676559813, 0.4724409623690384]","[0.0186334774972829, 0.4099378685538751, 0.8558558569695124, 1.0]"
"[0.5259376028118972, 0.5823601439782358, 0.3772245915051286, 0.1990115249293883]","[0.4303914537398557, 0.4520014519514073, 1.0, 0.6214985711871845]","[1.0, 0.2222279989293836, 0.2619457490174784, 0.2009292796253612]","[0.3945578252546832, 0.134615383487725, 0.4326923082561374, 0.4230769174386252]","[0.5537190056611643, 0.3307086676559813, 0.4724409623690384, 0.5118110435668493]","[0.4099378685538751, 0.8558558569695124, 1.0, 0.9549549595951904]"
"[0.5823601439782358, 0.3772245915051286, 0.1990115249293883, 0.5201839984949228]","[0.4520014519514073, 1.0, 0.6214985711871845, 0.543136343990324]","[0.2222279989293836, 0.2619457490174784, 0.2009292796253612, 0.6200881140399016]","[0.134615383487725, 0.4326923082561374, 0.4230769174386252, 0.5480769247684124]","[0.3307086676559813, 0.4724409623690384, 0.5118110435668493, 0.4803149714057858]","[0.8558558569695124, 1.0, 0.9549549595951904, 0.8288288258590781]"
"[0.3772245915051286, 0.1990115249293883, 0.5201839984949228, 0.6968421658216438]","[1.0, 0.6214985711871845, 0.543136343990324, 0.5467108653829537]","[0.2619457490174784, 0.2009292796253612, 0.6200881140399016, 0.4894632861376358]","[0.4326923082561374, 0.4230769174386252, 0.5480769247684124, 0.375]","[0.4724409623690384, 0.5118110435668493, 0.4803149714057858, 0.7952755969788898]","[1.0, 0.9549549595951904, 0.8288288258590781, 0.7657657761598933]"
"[0.1990115249293883, 0.5201839984949228, 0.6968421658216438, 0.6739001723506249]","[0.6214985711871845, 0.543136343990324, 0.5467108653829537, 0.4791546467118535]","[0.2009292796253612, 0.6200881140399016, 0.4894632861376358, 0.4924392531102754]","[0.4230769174386252, 0.5480769247684124, 0.375, 0.4903846091824877]","[0.5118110435668493, 0.4803149714057858, 0.7952755969788898, 0.8346456781767007]","[0.9549549595951904, 0.8288288258590781, 0.7657657761598933, 0.6666666666666666]"
"[0.5201839984949228, 0.6968421658216438, 0.6739001723506249, 0.3463736299478127]","[0.543136343990324, 0.5467108653829537, 0.4791546467118535, 0.1835759032224676]","[0.6200881140399016, 0.4894632861376358, 0.4924392531102754, 0.4131163987237328]","[0.5480769247684124, 0.375, 0.4903846091824877, 0.0769230825613748]","[0.4803149714057858, 0.7952755969788898, 0.8346456781767007, 0.6456693052337765]","[0.8288288258590781, 0.7657657761598933, 0.6666666666666666, 0.6036036169674818]"
"[0.6968421658216438, 0.6739001723506249, 0.3463736299478127, 0.0254917954547114]","[0.5467108653829537, 0.4791546467118535, 0.1835759032224676, 0.5866492957455779]","[0.4894632861376358, 0.4924392531102754, 0.4131163987237328, 0.6316752258211108]","[0.375, 0.4903846091824877, 0.0769230825613748, 0.6634615266211129]","[0.7952755969788898, 0.8346456781767007, 0.6456693052337765, 0.8897638014573888]","[0.7657657761598933, 0.6666666666666666, 0.6036036169674818, 0.5585585696951237]"
"[0.6739001723506249, 0.3463736299478127, 0.0254917954547114, 0.4563259295925947]","[0.4791546467118535, 0.1835759032224676, 0.5866492957455779, 0.2567804562716667]","[0.4924392531102754, 0.4131163987237328, 0.6316752258211108, 0.5624067302489568]","[0.4903846091824877, 0.0769230825613748, 0.6634615266211129, 0.3269230825613748]","[0.8346456781767007, 0.6456693052337765, 0.8897638014573888, 0.7086614255465208]","[0.6666666666666666, 0.6036036169674818, 0.5585585696951237, 0.5855855870704609]"
"[0.3463736299478127, 0.0254917954547114, 0.4563259295925947, 0.3775203643436732]","[0.1835759032224676, 0.5866492957455779, 0.2567804562716667, 0.2826205216380932]","[0.4131163987237328, 0.6316752258211108, 0.5624067302489568, 0.0876933030633878]","[0.0769230825613748, 0.6634615266211129, 0.3269230825613748, 0.0480769247684124]","[0.6456693052337765, 0.8897638014573888, 0.7086614255465208, 0.4488189112494137]","[0.6036036169674818, 0.5585585696951237, 0.5855855870704609, 0.5315315523197864]"
"[0.0254917954547114, 0.4563259295925947, 0.3775203643436732, 0.0]","[0.5866492957455779, 0.2567804562716667, 0.2826205216380932, 0.2899582212027253]","[0.6316752258211108, 0.5624067302489568, 0.0876933030633878, 0.0]","[0.6634615266211129, 0.3269230825613748, 0.0480769247684124, 0.4807692183649754]","[0.8897638014573888, 0.7086614255465208, 0.4488189112494137, 0.4015748090101642]","[0.5585585696951237, 0.5855855870704609, 0.5315315523197864, 0.5675675571734401]"
"[0.4563259295925947, 0.3775203643436732, 0.0, 0.4752066350978953]","[0.2567804562716667, 0.2826205216380932, 0.2899582212027253, 0.6906114276564582]","[0.5624067302489568, 0.0876933030633878, 0.0, 0.516164189422079]","[0.3269230825613748, 0.0480769247684124, 0.4807692183649754, 1.0]","[0.7086614255465208, 0.4488189112494137, 0.4015748090101642, 0.9842519819265052]","[0.5855855870704609, 0.5315315523197864, 0.5675675571734401, 0.5225225373712761]"
"[0.3775203643436732, 0.0, 0.4752066350978953, 0.580524904670708]","[0.2826205216380932, 0.2899582212027253, 0.6906114276564582, 0.4230844021436141]","[0.0876933030633878, 0.0, 0.516164189422079, 0.474488135606275]","[0.0480769247684124, 0.4807692183649754, 1.0, 0.5192307523158756]","[0.4488189112494137, 0.4015748090101642, 0.9842519819265052, 0.8110236390617671]","[0.5315315523197864, 0.5675675571734401, 0.5225225373712761, 0.3603603781788645]"
"[0.0, 0.4752066350978953, 0.580524904670708, 0.5543710580186899]","[0.2899582212027253, 0.6906114276564582, 0.4230844021436141, 0.3734793052287762]","[0.0, 0.516164189422079, 0.474488135606275, 1.0]","[0.4807692183649754, 1.0, 0.5192307523158756, 0.4423076844140752]","[0.4015748090101642, 0.9842519819265052, 0.8110236390617671, 0.7401574977075842]","[0.5675675571734401, 0.5225225373712761, 0.3603603781788645, 0.3603603781788645]"
"[0.4752066350978953, 0.580524904670708, 0.5543710580186899, 0.2948384616306234]","[0.6906114276564582, 0.4230844021436141, 0.3734793052287762, 0.3547726025795962]","[0.516164189422079, 0.474488135606275, 1.0, 0.664694883955581]","[1.0, 0.5192307523158756, 0.4423076844140752, 0.4423076844140752]","[0.9842519819265052, 0.8110236390617671, 0.7401574977075842, 0.8582677413010166]","[0.5225225373712761, 0.3603603781788645, 0.3603603781788645, 0.3423423482818437]"
"[0.580524904670708, 0.5543710580186899, 0.2948384616306234, 0.5149010181110454]","[0.4230844021436141, 0.3734793052287762, 0.3547726025795962, 0.4607846267882478]","[0.474488135606275, 1.0, 0.664694883955581, 0.395132546545818]","[0.5192307523158756, 0.4423076844140752, 0.4423076844140752, 0.5961538495368249]","[0.8110236390617671, 0.7401574977075842, 0.8582677413010166, 1.0]","[0.3603603781788645, 0.3603603781788645, 0.3423423482818437, 0.1621621591924114]"
"[0.5543710580186899, 0.2948384616306234, 0.5149010181110454, 0.3523674851513405]","[0.3734793052287762, 0.3547726025795962, 0.4607846267882478, 0.3644731090839441]","[1.0, 0.664694883955581, 0.395132546545818, 0.3009789593069492]","[0.4423076844140752, 0.4423076844140752, 0.5961538495368249, 0.6153846018527005]","[0.7401574977075842, 0.8582677413010166, 1.0, 0.8346456781767007]","[0.3603603781788645, 0.3423423482818437, 0.1621621591924114, 0.0]"
"[0.2948384616306234, 0.5149010181110454, 0.3523674851513405, 0.3690902908884075]","[0.3547726025795962, 0.4607846267882478, 0.3644731090839441, 0.382715170496323]","[0.664694883955581, 0.395132546545818, 0.3009789593069492, 0.1677565387511144]","[0.4423076844140752, 0.5961538495368249, 0.6153846018527005, 0.5769230679018004]","[0.8582677413010166, 1.0, 0.8346456781767007, 0.8661417383330727]","[0.3423423482818437, 0.1621621591924114, 0.0, 0.0270270448455312]"
"[0.5149010181110454, 0.3523674851513405, 0.3690902908884075, 0.2678860321373129]","[0.4607846267882478, 0.3644731090839441, 0.382715170496323, 0.4082432749962316]","[0.395132546545818, 0.3009789593069492, 0.1677565387511144, 0.3137936213599524]","[0.5961538495368249, 0.6153846018527005, 0.5769230679018004, 0.5576922862667758]","[1.0, 0.8346456781767007, 0.8661417383330727, 0.6929133954683347]","[0.1621621591924114, 0.0, 0.0270270448455312, 0.0180180298970208]"
"[0.3523674851513405, 0.3690902908884075, 0.2678860321373129, 0.3175913310258505]","[0.3644731090839441, 0.382715170496323, 0.4082432749962316, 0.4165468057088113]","[0.3009789593069492, 0.1677565387511144, 0.3137936213599524, 0.6968518871539512]","[0.6153846018527005, 0.5769230679018004, 0.5576922862667758, 0.6538461358036006]","[0.8346456781767007, 0.8661417383330727, 0.6929133954683347, 0.6614173353119626]","[0.0, 0.0270270448455312, 0.0180180298970208, 0.0360360597940416]"
"[0.3690902908884075, 0.2678860321373129, 0.3175913310258505, 0.3467605580543632]","[0.382715170496323, 0.4082432749962316, 0.4165468057088113, 0.3768900443051576]","[0.1677565387511144, 0.3137936213599524, 0.6968518871539512, 0.7757077910449486]","[0.5769230679018004, 0.5576922862667758, 0.6538461358036006, 0.701923060572013]","[0.8661417383330727, 0.6929133954683347, 0.6614173353119626, 0.3858267909366694]","[0.0270270448455312, 0.0180180298970208, 0.0360360597940416, 0.1081081244417369]"
"[0.2678860321373129, 0.3175913310258505, 0.3467605580543632, 0.0053663529254218]","[0.4082432749962316, 0.4165468057088113, 0.3768900443051576, 0.4725204519018491]","[0.3137936213599524, 0.6968518871539512, 0.7757077910449486, 0.6383319180400788]","[0.5576922862667758, 0.6538461358036006, 0.701923060572013, 0.4711538422070376]","[0.6929133954683347, 0.6614173353119626, 0.3858267909366694, 0.0]","[0.0180180298970208, 0.0360360597940416, 0.1081081244417369, 0.0270270448455312]"
"[0.3175913310258505, 0.3467605580543632, 0.0053663529254218, 1.0]","[0.4165468057088113, 0.3768900443051576, 0.4725204519018491, 0.0]","[0.6968518871539512, 0.7757077910449486, 0.6383319180400788, 0.0647443710802635]","[0.6538461358036006, 0.701923060572013, 0.4711538422070376, 0.4903846091824877]","[0.6614173353119626, 0.3858267909366694, 0.0, 0.7086614255465208]","[0.0360360597940416, 0.1081081244417369, 0.0270270448455312, 0.1261261543387578]"
"[0.3467605580543632, 0.0053663529254218, 1.0, 0.5360146352855623]","[0.3768900443051576, 0.4725204519018491, 0.0, 0.2829582535166368]","[0.7757077910449486, 0.6383319180400788, 0.0647443710802635, 0.6569136594091969]","[0.701923060572013, 0.4711538422070376, 0.4903846091824877, 0.0]","[0.3858267909366694, 0.0, 0.7086614255465208, 0.4566929202861611]","[0.1081081244417369, 0.0270270448455312, 0.1261261543387578, 0.1621621591924114]"
"[0.0053663529254218, 1.0, 0.5360146352855623, 0.4464601308710541]","[0.4725204519018491, 0.0, 0.2829582535166368, 0.2650546011633542]","[0.6383319180400788, 0.0647443710802635, 0.6569136594091969, 0.4415406863113221]","[0.4711538422070376, 0.4903846091824877, 0.0, 0.4519230752315875]","[0.0, 0.7086614255465208, 0.4566929202861611, 0.4803149714057858]","[0.0270270448455312, 0.1261261543387578, 0.1621621591924114, 0.0990991094932265]"
"[1.0, 0.5360146352855623, 0.4464601308710541, 0.28955642569999]","[0.0, 0.2829582535166368, 0.2650546011633542, 0.2165327879185191]","[0.0647443710802635, 0.6569136594091969, 0.4415406863113221, 0.2181964011338804]","[0.4903846091824877, 0.0, 0.4519230752315875, 0.3441295564613753]","[0.7086614255465208, 0.4566929202861611, 0.4803149714057858, 0.5396825302714545]","[0.1261261543387578, 0.1621621591924114, 0.0990991094932265, 1.0]"
"[0.5360146352855623, 0.4464601308710541, 0.28955642569999, 0.3850103614300358]","[0.2829582535166368, 0.2650546011633542, 0.2165327879185191, 0.4558751244651158]","[0.6569136594091969, 0.4415406863113221, 0.2181964011338804, 0.0768638276744784]","[0.0, 0.4519230752315875, 0.3441295564613753, 0.461538465811698]","[0.4566929202861611, 0.4803149714057858, 0.5396825302714545, 0.285714273614319]","[0.1621621591924114, 0.0990991094932265, 1.0, 0.9208633129034114]"
"[0.4464601308710541, 0.28955642569999, 0.3850103614300358, 0.5586000084127138]","[0.2650546011633542, 0.2165327879185191, 0.4558751244651158, 0.4974622437881513]","[0.4415406863113221, 0.2181964011338804, 0.0768638276744784, 0.1908311759977232]","[0.4519230752315875, 0.3441295564613753, 0.461538465811698, 0.5870445452085002]","[0.4803149714057858, 0.5396825302714545, 0.285714273614319, 0.3730158595714656]","[0.0990991094932265, 1.0, 0.9208633129034114, 0.9496402835481664]"
"[0.28955642569999, 0.3850103614300358, 0.5586000084127138, 0.3927728622694812]","[0.2165327879185191, 0.4558751244651158, 0.4974622437881513, 0.0921707933497386]","[0.2181964011338804, 0.0768638276744784, 0.1908311759977232, 0.4366987286696794]","[0.3441295564613753, 0.461538465811698, 0.5870445452085002, 0.4170040529312015]","[0.5396825302714545, 0.285714273614319, 0.3730158595714656, 0.1587301452857513]","[1.0, 0.9208633129034114, 0.9496402835481664, 0.8489208616128145]"
"[0.3850103614300358, 0.5586000084127138, 0.3927728622694812, 0.5047046748608561]","[0.4558751244651158, 0.4974622437881513, 0.0921707933497386, 0.0]","[0.0768638276744784, 0.1908311759977232, 0.4366987286696794, 0.2552391704404219]","[0.461538465811698, 0.5870445452085002, 0.4170040529312015, 0.307692310541132]","[0.285714273614319, 0.3730158595714656, 0.1587301452857513, 0.2063492009714434]","[0.9208633129034114, 0.9496402835481664, 0.8489208616128145, 0.6618704948382519]"
"[0.5586000084127138, 0.3927728622694812, 0.5047046748608561, 0.4650052695469169]","[0.4974622437881513, 0.0921707933497386, 0.0, 0.1743847471048666]","[0.1908311759977232, 0.4366987286696794, 0.2552391704404219, 0.174895881963035]","[0.5870445452085002, 0.4170040529312015, 0.307692310541132, 0.3117408901634756]","[0.3730158595714656, 0.1587301452857513, 0.2063492009714434, 0.9126984019428868]","[0.9496402835481664, 0.8489208616128145, 0.6618704948382519, 0.6906474709671646]"
"[0.3927728622694812, 0.5047046748608561, 0.4650052695469169, 0.3174904380570549]","[0.0921707933497386, 0.0, 0.1743847471048666, 0.3857131461330109]","[0.4366987286696794, 0.2552391704404219, 0.174895881963035, 0.2473794655400668]","[0.4170040529312015, 0.307692310541132, 0.3117408901634756, 0.6599190401352133]","[0.1587301452857513, 0.2063492009714434, 0.9126984019428868, 0.4841269794214415]","[0.8489208616128145, 0.6618704948382519, 0.6906474709671646, 0.7194244470960773]"
"[0.5047046748608561, 0.4650052695469169, 0.3174904380570549, 0.5296437525051777]","[0.0, 0.1743847471048666, 0.3857131461330109, 0.0302165878514125]","[0.2552391704404219, 0.174895881963035, 0.2473794655400668, 0.1984308796179608]","[0.307692310541132, 0.3117408901634756, 0.6599190401352133, 0.2105263131905462]","[0.2063492009714434, 0.9126984019428868, 0.4841269794214415, 0.5079365072642875]","[0.6618704948382519, 0.6906474709671646, 0.7194244470960773, 0.7482014451616202]"
"[0.4650052695469169, 0.3174904380570549, 0.5296437525051777, 0.3998313944777795]","[0.1743847471048666, 0.3857131461330109, 0.0302165878514125, 0.3929169595574752]","[0.174895881963035, 0.2473794655400668, 0.1984308796179608, 0.235531507345669]","[0.3117408901634756, 0.6599190401352133, 0.2105263131905462, 0.7044534591881625]","[0.9126984019428868, 0.4841269794214415, 0.5079365072642875, 0.9841269733714584]","[0.6906474709671646, 0.7194244470960773, 0.7482014451616202, 0.6834532214507789]"
"[0.3174904380570549, 0.5296437525051777, 0.3998313944777795, 0.4955660395456842]","[0.3857131461330109, 0.0302165878514125, 0.3929169595574752, 0.1867956246159831]","[0.2473794655400668, 0.1984308796179608, 0.235531507345669, 0.0953694820694944]","[0.6599190401352133, 0.2105263131905462, 0.7044534591881625, 0.372469640050705]","[0.4841269794214415, 0.5079365072642875, 0.9841269733714584, 0.4841269794214415]","[0.7194244470960773, 0.7482014451616202, 0.6834532214507789, 0.5827338159678996]"
"[0.5296437525051777, 0.3998313944777795, 0.4955660395456842, 0.6116106106233843]","[0.0302165878514125, 0.3929169595574752, 0.1867956246159831, 0.2233812986398873]","[0.1984308796179608, 0.235531507345669, 0.0953694820694944, 0.5601165268602296]","[0.2105263131905462, 0.7044534591881625, 0.372469640050705, 0.4939271336527108]","[0.5079365072642875, 0.9841269733714584, 0.4841269794214415, 0.40476190526607]","[0.7482014451616202, 0.6834532214507789, 0.5827338159678996, 0.5755395664515139]"
"[0.3998313944777795, 0.4955660395456842, 0.6116106106233843, 0.9168347813040282]","[0.3929169595574752, 0.1867956246159831, 0.2233812986398873, 0.2439348860988893]","[0.235531507345669, 0.0953694820694944, 0.5601165268602296, 0.3975614845169057]","[0.7044534591881625, 0.372469640050705, 0.4939271336527108, 0.5303643811160673]","[0.9841269733714584, 0.4841269794214415, 0.40476190526607, 0.8015873123428274]","[0.6834532214507789, 0.5827338159678996, 0.5755395664515139, 0.5395683188695852]"
"[0.4955660395456842, 0.6116106106233843, 0.9168347813040282, 0.1274833779082564]","[0.1867956246159831, 0.2233812986398873, 0.2439348860988893, 0.1839116277015059]","[0.0953694820694944, 0.5601165268602296, 0.3975614845169057, 0.1161706693242968]","[0.372469640050705, 0.4939271336527108, 0.5303643811160673, 0.5101214644869909]","[0.4841269794214415, 0.40476190526607, 0.8015873123428274, 0.2619047578714397]","[0.5827338159678996, 0.5755395664515139, 0.5395683188695852, 0.4892086161281456]"
"[0.6116106106233843, 0.9168347813040282, 0.1274833779082564, 0.6340882175732311]","[0.2233812986398873, 0.2439348860988893, 0.1839116277015059, 0.1735376357240449]","[0.5601165268602296, 0.3975614845169057, 0.1161706693242968, 0.3320588810687607]","[0.4939271336527108, 0.5303643811160673, 0.5101214644869909, 0.4939271336527108]","[0.40476190526607, 0.8015873123428274, 0.2619047578714397, 0.7777777724000148]","[0.5755395664515139, 0.5395683188695852, 0.4892086161281456, 0.3812949611288807]"
"[0.9168347813040282, 0.1274833779082564, 0.6340882175732311, 0.2707529683925577]","[0.2439348860988893, 0.1839116277015059, 0.1735376357240449, 0.236719612734296]","[0.3975614845169057, 0.1161706693242968, 0.3320588810687607, 0.1753175252072868]","[0.5303643811160673, 0.5101214644869909, 0.4939271336527108, 0.5991903025928894]","[0.8015873123428274, 0.2619047578714397, 0.7777777724000148, 0.6269841162286011]","[0.5395683188695852, 0.4892086161281456, 0.3812949611288807, 0.2805755556460015]"
"[0.1274833779082564, 0.6340882175732311, 0.2707529683925577, 0.8722481714485297]","[0.1839116277015059, 0.1735376357240449, 0.236719612734296, 0.2262457291588908]","[0.1161706693242968, 0.3320588810687607, 0.1753175252072868, 0.5844033223751894]","[0.5101214644869909, 0.4939271336527108, 0.5991903025928894, 0.0]","[0.2619047578714397, 0.7777777724000148, 0.6269841162286011, 0.8730158837713989]","[0.4892086161281456, 0.3812949611288807, 0.2805755556460015, 0.3525179630633377]"
"[0.6340882175732311, 0.2707529683925577, 0.8722481714485297, 1.0]","[0.1735376357240449, 0.236719612734296, 0.2262457291588908, 1.0]","[0.3320588810687607, 0.1753175252072868, 0.5844033223751894, 1.0]","[0.4939271336527108, 0.5991903025928894, 0.0, 1.0]","[0.7777777724000148, 0.6269841162286011, 0.8730158837713989, 0.476190472157154]","[0.3812949611288807, 0.2805755556460015, 0.3525179630633377, 0.0143884990327714]"
"[0.2707529683925577, 0.8722481714485297, 1.0, 0.728800337127261]","[0.236719612734296, 0.2262457291588908, 1.0, 0.6523595739468876]","[0.1753175252072868, 0.5844033223751894, 1.0, 0.3286354706113574]","[0.5991903025928894, 0.0, 1.0, 0.6720647975196024]","[0.6269841162286011, 0.8730158837713989, 0.476190472157154, 0.5238095157428794]","[0.2805755556460015, 0.3525179630633377, 0.0143884990327714, 0.0]"
"[0.8722481714485297, 1.0, 0.728800337127261, 0.3380961839577797]","[0.2262457291588908, 1.0, 0.6523595739468876, 0.3888455649754444]","[0.5844033223751894, 1.0, 0.3286354706113574, 0.7422841275185138]","[0.0, 1.0, 0.6720647975196024, 0.4291498041431379]","[0.8730158837713989, 0.476190472157154, 0.5238095157428794, 1.0]","[0.3525179630633377, 0.0143884990327714, 0.0, 0.1798560624166012]"
"[1.0, 0.728800337127261, 0.3380961839577797, 0.041673439159086]","[1.0, 0.6523595739468876, 0.3888455649754444, 0.2287578061270173]","[1.0, 0.3286354706113574, 0.7422841275185138, 0.0]","[1.0, 0.6720647975196024, 0.4291498041431379, 0.4008097159244687]","[0.476190472157154, 0.5238095157428794, 1.0, 0.2142857142857142]","[0.0143884990327714, 0.0, 0.1798560624166012, 0.2374100585476871]"
"[0.728800337127261, 0.3380961839577797, 0.041673439159086, 0.2271681288590585]","[0.6523595739468876, 0.3888455649754444, 0.2287578061270173, 0.3971534406503035]","[0.3286354706113574, 0.7422841275185138, 0.0, 0.1353919600661177]","[0.6720647975196024, 0.4291498041431379, 0.4008097159244687, 0.3562753072875334]","[0.5238095157428794, 1.0, 0.2142857142857142, 0.0]","[0.0, 0.1798560624166012, 0.2374100585476871, 0.1294964035484221]"
"[0.3380961839577797, 0.041673439159086, 0.2271681288590585, 0.9145230036378758]","[0.3888455649754444, 0.2287578061270173, 0.3971534406503035, 0.1774250903453886]","[0.7422841275185138, 0.0, 0.1353919600661177, 0.5634166265575216]","[0.4291498041431379, 0.4008097159244687, 0.3562753072875334, 0.4777328028184308]","[1.0, 0.2142857142857142, 0.0, 0.5158730145285751]","[0.1798560624166012, 0.2374100585476871, 0.1294964035484221, 0.2949640108055124]"
"[0.041673439159086, 0.2271681288590585, 0.9145230036378758, 0.5720240228952995]","[0.2287578061270173, 0.3971534406503035, 0.1774250903453886, 0.0836394752477571]","[0.0, 0.1353919600661177, 0.5634166265575216, 0.4388901163713657]","[0.4008097159244687, 0.3562753072875334, 0.4777328028184308, 0.5627530427846275]","[0.2142857142857142, 0.0, 0.5158730145285751, 0.0634920581143005]","[0.2374100585476871, 0.1294964035484221, 0.2949640108055124, 0.2517985575804585]"
"[0.2271681288590585, 0.9145230036378758, 0.5720240228952995, 0.0]","[0.3971534406503035, 0.1774250903453886, 0.0836394752477571, 0.3304491427793148]","[0.1353919600661177, 0.5634166265575216, 0.4388901163713657, 0.2633870826012133]","[0.3562753072875334, 0.4777328028184308, 0.5627530427846275, 0.5506072977451437]","[0.0, 0.5158730145285751, 0.0634920581143005, 0.2460317433428645]","[0.1294964035484221, 0.2949640108055124, 0.2517985575804585, 0.6258992691929536]"
"[0.9145230036378758, 0.5720240228952995, 0.0, 0.5172783736496961]","[0.1774250903453886, 0.0836394752477571, 0.3304491427793148, 0.2546869504790374]","[0.5634166265575216, 0.4388901163713657, 0.2633870826012133, 0.5618580653373453]","[0.4777328028184308, 0.5627530427846275, 0.5506072977451437, 0.6194332068770604]","[0.5158730145285751, 0.0634920581143005, 0.2460317433428645, 0.4603174515785955]","[0.2949640108055124, 0.2517985575804585, 0.6258992691929536, 0.6834532214507789]"
"[0.5720240228952995, 0.0, 0.5172783736496961, 0.2368209166112393]","[0.0836394752477571, 0.3304491427793148, 0.2546869504790374, 0.4261675245577596]","[0.4388901163713657, 0.2633870826012133, 0.5618580653373453, 0.1227754451159458]","[0.5627530427846275, 0.5506072977451437, 0.6194332068770604, 0.35344828059244]","[0.0634920581143005, 0.2460317433428645, 0.4603174515785955, 0.7743362922004056]","[0.2517985575804585, 0.6258992691929536, 0.6834532214507789, 1.0]"
"[0.0, 0.5172783736496961, 0.2368209166112393, 0.3506367267026848]","[0.3304491427793148, 0.2546869504790374, 0.4261675245577596, 1.0]","[0.2633870826012133, 0.5618580653373453, 0.1227754451159458, 0.3095171236281164]","[0.5506072977451437, 0.6194332068770604, 0.35344828059244, 0.45689655625623]","[0.2460317433428645, 0.4603174515785955, 0.7743362922004056, 0.5530973525354325]","[0.6258992691929536, 0.6834532214507789, 1.0, 0.8837209313663165]"
"[0.5172783736496961, 0.2368209166112393, 0.3506367267026848, 0.2252067630947658]","[0.2546869504790374, 0.4261675245577596, 1.0, 0.5457148992103389]","[0.5618580653373453, 0.1227754451159458, 0.3095171236281164, 0.2463600056161523]","[0.6194332068770604, 0.35344828059244, 0.45689655625623, 0.4396551721871885]","[0.4603174515785955, 0.7743362922004056, 0.5530973525354325, 0.6814159387553966]","[0.6834532214507789, 1.0, 0.8837209313663165, 0.8914728745443421]"
"[0.2368209166112393, 0.3506367267026848, 0.2252067630947658, 0.2691497593603855]","[0.4261675245577596, 1.0, 0.5457148992103389, 0.4945188886547665]","[0.1227754451159458, 0.3095171236281164, 0.2463600056161523, 0.3511191823374057]","[0.35344828059244, 0.45689655625623, 0.4396551721871885, 0.4396551721871885]","[0.7743362922004056, 0.5530973525354325, 0.6814159387553966, 0.7477876159326894]","[1.0, 0.8837209313663165, 0.8914728745443421, 0.7209302428134993]"
"[0.3506367267026848, 0.2252067630947658, 0.2691497593603855, 0.1725946579213548]","[1.0, 0.5457148992103389, 0.4945188886547665, 0.5253538424490533]","[0.3095171236281164, 0.2463600056161523, 0.3511191823374057, 0.2754584389351037]","[0.45689655625623, 0.4396551721871885, 0.4396551721871885, 0.551724132492524]","[0.5530973525354325, 0.6814159387553966, 0.7477876159326894, 0.8539823075115565]","[0.8837209313663165, 0.8914728745443421, 0.7209302428134993, 0.7286821623543809]"
"[0.2252067630947658, 0.2691497593603855, 0.1725946579213548, 0.4906485967549205]","[0.5457148992103389, 0.4945188886547665, 0.5253538424490533, 0.4128543190552161]","[0.2463600056161523, 0.3511191823374057, 0.2754584389351037, 0.4779837603009765]","[0.4396551721871885, 0.4396551721871885, 0.551724132492524, 0.6465517284434185]","[0.6814159387553966, 0.7477876159326894, 0.8539823075115565, 0.8938053084211329]","[0.8914728745443421, 0.7209302428134993, 0.7286821623543809, 0.968992247231738]"
"[0.2691497593603855, 0.1725946579213548, 0.4906485967549205, 0.359114840336338]","[0.4945188886547665, 0.5253538424490533, 0.4128543190552161, 0.0]","[0.3511191823374057, 0.2754584389351037, 0.4779837603009765, 0.4077055045467262]","[0.4396551721871885, 0.551724132492524, 0.6465517284434185, 0.1724138012612139]","[0.7477876159326894, 0.8539823075115565, 0.8938053084211329, 0.9336283160767084]","[0.7209302428134993, 0.7286821623543809, 0.968992247231738, 0.8914728745443421]"
"[0.1725946579213548, 0.4906485967549205, 0.359114840336338, 0.160325145894972]","[0.5253538424490533, 0.4128543190552161, 0.0, 0.6652696788176153]","[0.2754584389351037, 0.4779837603009765, 0.4077055045467262, 0.1129123337060354]","[0.551724132492524, 0.6465517284434185, 0.1724138012612139, 0.982758609359425]","[0.8539823075115565, 0.8938053084211329, 0.9336283160767084, 0.9601769923444246]","[0.7286821623543809, 0.968992247231738, 0.8914728745443421, 0.8449612391133325]"
