"label","sensor_data"
"Normal","$$$0.45686451094533187/0.7384943503458863/0.4817057652605957/0.5049504889031466/0.48344369724216973/0.65116280481812/0.0/0.0/0.0"
"Normal","$$$0.4154642055189588/0.7398153438117019/0.4432904067204173/0.47524751585987174/0.4900662233936323/0.720930223024262/0.0/0.0/0.0"
"Normal","$$$0.3729857385343487/0.7843895865968318/0.3571837396313486/0.5445544340920869/0.5562913839416485/0.744186029092976/0.0/0.0/0.0"
"Normal","$$$0.4970885580652174/0.92938613895591/0.816139456051702/0.7623762307488083/0.5099337753442851/0.720930223024262/0.0/0.0/0.0"
"Normal","$$$0.5605401744381386/0.8389770141996038/0.7171416050223609/0.6039603820655127/0.5231788036676404/0.9069767491333559/0.0/0.0/0.0"
"Normal","$$$0.21895716809396612/0.9866324597390392/0.2734652283875328/0.6633663243783106/0.5033112504549051/0.720930223024262/0.0/0.0/0.0"
"Normal","$$$0.2911521369964228/0.8992247743199399/0.44678525605487/0.5049504889031466/0.47682118623569864/0.8372093287112314/0.0/0.0/0.0"
"Normal","$$$0.3792419147147403/0.8074326861035747/0.544624141335741/0.5742574071353618/0.529801317829318/0.5581395051998645/0.0/0.0/0.0"
"Normal","$$$0.5535474649915092/0.7543938914477236/0.9708209912721167/0.43564355180217185/0.529801317829318/0.37209300346657637/0.0/0.0/0.0"
"Normal","$$$0.7171979068639598/0.7994572844457694/0.9766290200799396/0.6633663243783106/0.622516549537995/0.2790697525999323/0.0/0.0/0.0"
"Normal","$$$0.14294239315017887/0.45424020468693505/0.41111234311722183/0.3465346421067269/0.4503311169681617/0.39534883391109604/0.0/0.0/0.0"
"Normal","$$$0.5879733804724759/0.7745142956654082/0.5375900904468486/0.6435643461232126/0.5960264903671191/0.0/0.0/0.03231292517006803/0.34794520025383935"
"Normal","$$$0.25395940672181266/0.7423580524330486/0.16870211676249913/1.0/0.5099337753442851/0.09302325086664409/0.0/0.03231292517006803/0.34794520025383935"
"Normal","$$$0.1047282176569586/0.5593730416806156/0.36066380489247224/0.35643562368677206/0.4437086009133601/0.06976742042212443/0.0/0.03231292517006803/0.34794520025383935"
"Normal","$$$0.4076288370975648/0.9495544564519122/0.7782526281330355/0.5445544340920869/0.2582781412822541/0.39534883391109604/0.0/0.03231292517006803/0.34794520025383935"
"Normal","$$$0.5072078875714726/0.46571113116816626/0.574012239100706/0.18811878587592737/0.26490066238538623/0.16279067128876853/0.16666666666666666/0.11564625850340136/0.4931506849315068"
"Normal","$$$0.2345345402413309/0.0/0.6996615503212896/0.44554454092972084/0.0794701724642973/0.16279067128876853/0.16666666666666666/0.11564625850340136/0.4931506849315068"
"Normal","$$$0.6117689492815866/0.5853966203013408/0.573419820162308/0.8514851404442533/1.0/0.5581395051998645/0.16666666666666666/0.11564625850340136/0.4931506849315068"
"Normal","$$$0.24260167703251445/0.9468581521373199/0.0/0.6237623527731069/0.3178807908237991/0.4883720847777402/0.16666666666666666/0.11564625850340136/0.4931506849315068"
"Normal","$$$0.6014998996608232/0.9371243831055254/0.9407813382754379/0.40594057687202095/0.470198670180897/0.5348837102110622/0.3333333333333333/0.22108843537414966/0.6109588832071383"
"Normal","$$$0.0/0.9768431101293312/0.7012233820679751/0.5247524614976168/0.45695364311962433/0.5581395051998645/0.3333333333333333/0.22108843537414966/0.6109588832071383"
"Normal","$$$0.26100194369147833/0.4433132745808631/0.3967765440116583/0.11881186953058813/0.48344369724216973/0.5116278974944012/0.3333333333333333/0.22108843537414966/0.6109588832071383"
"Normal","$$$0.8616017553274782/0.7820360634521039/0.6145939923862023/0.7623762307488083/0.5165562895059627/0.41860462889989847/0.3333333333333333/0.22108843537414966/0.6109588832071383"
"Normal","$$$1.0/0.5281215398005703/0.637864651808673/0.3663366203618249/0.748344379820878/0.7906976766861215/0.6666666666666666/0.37755102040816324/0.7205479243030287"
"Normal","$$$0.3473660015902239/1.0/0.5922647616332177/0.7524752340737555/0.5827814532091853/0.697674416955548/0.6666666666666666/0.37755102040816324/0.7205479243030287"
"Normal","$$$0.421722842669691/0.6313991840583152/1.0/0.46534651163731505/0.7549668807306881/1.0/0.6666666666666666/0.37755102040816324/0.7205479243030287"
"Normal","$$$0.5150786788370993/0.7190891201077487/0.6153363640683658/0.4851485012136688/0.5165562895059627/0.8604651237000338/0.6666666666666666/0.37755102040816324/0.7205479243030287"
"Normal","$$$0.12428154868958555/0.865165571956461/0.6720068851541504/0.9207920567895925/0.5033112504549051/0.8372093287112314/1.0/0.5680272108843537/0.8410959113134097"
"Normal","$$$0.7490110129848017/0.6578084777889788/0.5923740581753285/0.2673267290863348/0.311258269720667/0.8837209364166949/1.0/0.5680272108843537/0.8410959113134097"
"Normal","$$$0.39159374339623787/0.8162223491031375/0.343992650203545/0.0/0.0/0.674418610886834/1.0/0.5680272108843537/0.8410959113134097"
"Normal","$$$0.33037274483899365/0.8623034659601863/0.8986076570939792/0.8910890969544494/0.8874172220200421/0.8139534805388532/1.0/0.5680272108843537/0.8410959113134097"
"Normal","$$$0.6812017212729697/0.7411680640344661/0.6768191010227411/0.4851485012136688/0.37748344036534404/0.5813953533722429/0.8333333333333334/0.7806122448979592/0.9315068493150684"
"Normal","$$$0.7082894222743851/0.8733723439269758/0.6425263869308792/0.5049504889031466/0.7350993376146138/0.7674418728333897/0.8333333333333334/0.7806122448979592/0.9315068493150684"
"Normal","$$$0.36026439373092983/0.47238053612813946/0.561262031859678/0.46534651163731505/0.5099337753442851/0.5813953533722429/0.8333333333333334/0.7806122448979592/0.9315068493150684"
"Normal","$$$0.4882949029218464/0.6815218197245718/0.5249782198919707/0.5247524614976168/0.4105960155910216/0.4883720847777402/0.8333333333333334/1.0/1.0"
"Normal","$$$0.3534192664902116/0.5774886673786778/0.7860887150000264/0.21782177590108592/0.470198670180897/0.65116280481812/0.8333333333333334/1.0/1.0"
"Normal","$$$0.12214481831767687/0.5590277634974731/0.5988684903877123/0.5841584113579185/0.6556291348603335/0.8139534805388532/0.8333333333333334/1.0/1.0"
"Normal","$$$0.3990127239055428/0.49929913243770657/0.7319061422544656/0.5841584113579185/0.5695364210995821/0.44186044161655946/0.8333333333333334/1.0/1.0"
