accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,latitude,longitude
0.898894846,0.675767899,0.340617925,0.095294975,-0.097127572,0.005497787,39.45946884,-8.198904991
0.043695867,-0.258119583,0.152255222,0.029321533,-0.072082102,-0.021380283,39.45946884,-8.198904991
-0.772125363,0.113120079,-0.456300795,0.065973446,0.033597589,-0.008552114,39.45946884,-8.198904991
0.267106652,0.430985451,-0.113659292,0.018936822,0.059864793,0.002443461,39.45946884,-8.198904991
0.369875014,0.366357803,0.153924197,0.00122173,-0.015271631,-0.006719518,39.45946884,-8.198904991
-0.174930871,0.282855034,-0.197957724,-0.047647487,-0.009773844,-0.01038471,39.45946884,-8.198904991
-0.167055607,0.138786316,-0.324559301,-0.040317107,-0.004276057,0.010995574,39.45946884,-8.198904991
-0.236126423,-0.053318024,-0.055875488,0.009162978,-0.002443461,0.009773844,39.45946884,-8.198904991
0.261965215,-0.043391228,0.431517571,0.030543262,0.025656341,-6.11E-04,39.45946884,-8.198904991
0.23987937,0.048169136,0.444404602,0.007330383,-0.013439035,-0.005497787,39.45946884,-8.198904991
-0.477559119,0.239449501,-0.359528631,-0.006108652,-0.020769419,-0.00122173,39.45946884,-8.198904991
-0.061152697,0.420873642,-0.37447989,0,0.012217305,0.003665192,39.45946884,-8.198904991
0.637280822,-0.150921822,0.269322008,0.039095376,0.024434609,-0.020158553,39.45946884,-8.198904991
-0.118135393,0.344955444,0.022199206,0.032375857,0.005497787,-0.017715093,39.45946884,-8.198904991
0.503020406,0.231796265,0.632183075,-0.019547688,0.007941248,0.015882496,39.45946884,-8.198904991
-0.013742149,-0.094567299,0.929481268,0.054977871,-0.032986723,0.012217305,39.45946884,-8.198904991
0.294464529,0.435511589,0.194684118,0.035430185,0.041538838,-0.003665192,39.45946884,-8.198904991
-0.262232661,0.150150299,-0.128839374,-0.009773844,-0.01160644,0.032375857,39.45946884,-8.198904991
-0.01453501,-0.024530411,0.367782325,-0.02687807,-0.007330383,0.020769419,39.45946884,-8.198904991
0.104896843,0.066832542,-0.349386692,-0.02687807,0.008552114,-0.002443461,39.45946884,-8.198904991
-0.143502295,0.205474854,0.150781319,0.036651913,0.027488936,0.022602014,39.45946884,-8.198904991
0.439096808,0.246114731,0.273022324,0.015271631,0.009773844,0.005497787,39.45946884,-8.198904991
0.179847836,0.346545219,-0.466289073,-0.028099801,-0.017715093,-0.007941248,39.45946884,-8.198904991
0.061322927,0.301150322,-0.24835442,0.02321288,0.025656341,-0.031764992,39.45946884,-8.198904991
0.052431822,-0.04365921,0.320097029,0.010995574,0.009162978,0.006719518,39.45946884,-8.198904991
-0.03412044,0.08548069,-0.100526989,-0.021991149,-0.01282817,0.014049901,39.45946884,-8.198904991
0.131711781,0.457092285,-0.272889435,0.020158553,0.047036625,-0.016493361,39.45946884,-8.198904991
0.045308471,0.016199112,0.184914783,0.023823744,0.036651913,-0.006719518,39.45946884,-8.198904991
-0.196945131,-0.080265045,0.390804738,0.040927973,-0.018325957,0.02321288,39.45946884,-8.198904991
0.136255026,0.169611931,-0.280210197,-0.02321288,-0.003054326,0.015271631,39.45946884,-8.198904991
-0.018820405,0.366422653,-0.121501453,0.006108652,0.01282817,-0.009162978,39.45946884,-8.198904991
0.025818706,0.088754654,0.311471701,-0.002443461,0.019547688,0,39.45946884,-8.198904991
0.034101248,0.174677849,-0.289111912,-0.031764992,-0.018936822,0.002443461,39.45946884,-8.198904991
-0.036513805,0.186554909,-0.273607105,-0.014049901,-0.006719518,-0.006719518,39.45946884,-8.198904991
0.114422321,0.251373291,0.232976213,0.082466811,0.084910266,-0.004276057,39.45946884,-8.198904991
-0.042086422,0.160462379,-0.005830948,0.007941248,0.010995574,0.002443461,39.45946884,-8.198904991
-0.052012324,0.177254677,-0.510592818,0.017715093,0.021991149,-0.023823744,39.45946884,-8.198904991
-0.103559673,0.21068573,0.018182283,0.051312681,0.015271631,-0.015271631,39.45946884,-8.198904991
-0.321882129,0.01679039,-0.03929124,0.004886922,-0.02321288,0.01038471,39.45946884,-8.198904991
0.297427058,0.12201786,-0.001457838,-0.019547688,0.031764992,-0.003054326,39.45946884,-8.198904991
-0.156275749,0.25748539,0.119591907,0.013439035,-0.010995574,-0.015882496,39.45946884,-8.198904991
0.234146118,-0.354513168,0.714800656,0.036041051,-0.030543262,-0.009773844,39.45946884,-8.198904991
