"label","sensor_data"
"Aggressive","$$$0.9480900232691144/0.6571609099218534/0.5162223841293282/0.3435114611314079/0.5454545528045252/1.0|$$$1.0/0.4956037531490986/0.6086395773571097/0.31297710901467424/0.37878787843787975/0.8800000022360739|$$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444|$$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291|$$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998|$$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769|$$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0|$$$0.0/1.0/0.4887298496442037/1.0/0.39393938785816074/0.026666604056597834|$$$0.48607042797916056/0.18718141520849632/0.16514388677247985/0.06870228989865441/0.7878787843787975/0.013333342684187769|$$$0.38914332289492315/0.6556420579089455/1.0/0.8015267232430587/0.8939394152893348/0.1733332922708856|$$$0.3559252250213007/0.40954839804741167/0.0/0.6335877949659336/1.0/0.09333331747753668|$$$0.45568741028342097/0.4921516445021685/0.8437951279755876/0.3816793967311782/0.7272727293727215/0.10666666016172445|$$$0.691704803138625/0.3855378640574225/0.7349170462045126/0.47328244798969477/0.6666666743666454/0.31999998048517336"
"Normal","$$$0.21986313583956876/0.4074129547760905/0.2723820561477689/0.493670891572409/0.13223139079673357/0.9391304288744396|$$$0.24346772452913001/0.4926461903713602/0.19861275614819343/0.4367088578280485/0.26446279419343216/0.930434780591272|$$$1.0/0.7541884358580742/1.0/0.8924050698868908/0.7190082315571162/1.0|$$$0.0/1.0/0.0/0.48101265843396535/0.0/0.6434782579875316|$$$0.4679913231001063/0.6993348489866933/0.8898753804811574/0.7025316433710364/0.37190080551576066/0.5217391223650882|$$$0.06811627618278371/0.10054333119006852/0.23496913698170718/0.2151898795248989/0.2231404845694529/0.3391304056740684|$$$0.1432789558987935/0.6514196938169542/0.4152455668903917/1.0/0.35537188796615143/0.25217387644165035|$$$0.6015911910542846/0.22734729650903313/0.3922808492212076/0.32911392771493936/0.28099172670549977/0.24347821821546656|$$$0.3295284829047969/0.4777908359845083/0.607026643232848/0.8037974554072144/0.545454524836421/0.23478255998928274|$$$0.17623179724241808/0.3734271637610355/0.6756273428511995/0.5759493686764737/0.2231404845694529/0.12173910910773328|$$$0.3965029218819892/0.41315173006041506/0.25729016781940317/0.7468354506108746/0.3305784958917814/0.06086955455386664|$$$0.6157727789289102/0.0/0.6239015397547091/0.0/0.6859504090578629/0.0|$$$0.5262422661530533/0.41849158364708994/0.3267760032603574/0.7784810216968504/1.0/0.08695647620299808"
"Slow","$$$0.4397941025462734/0.6317942676369269/0.16293888527503214/0.363013708893765/0.38028167229693455/1.0|$$$0.5359410837478148/0.8725077102869673/0.11796653127925241/0.4109589176990617/0.32394364836206874/0.9652173865201719|$$$0.563003756934948/0.735831094894206/0.4476917371368735/0.5136986392919994/0.49295773090325645/0.9826086899457471|$$$0.7275866205636174/0.5896385263860406/0.5513979676022148/0.4246575413274058/0.47887323028783507/0.9652173865201719|$$$0.3465511983351208/0.6129086539370685/0.0/0.4520548042477494/0.0/0.7826086939229536|$$$1.0/0.6080270771371991/0.299262046042298/0.5205479589379992/0.408450699027179/0.6086956331524904|$$$0.7751576486883036/0.4654619582688809/0.687071625759571/0.5479452166371244/0.8309859281954025/0.5478260512769442|$$$0.5883023696995365/0.42934811163791486/0.575374034174745/0.554794536283124/0.15492955508429082/0.3826086488479461|$$$0.0/0.6961763202475437/0.8644403766520173/0.4657534383185304/0.49295773090325645/0.19130432442397305|$$$0.8343825078120226/0.0/0.6057201843595805/0.38356165673667497/0.8309859281954025/0.12173911072167189|$$$0.2817455384202612/0.37782608455321354/0.32289898300782177/0.431506866194624/1.0/0.16521734939957736|$$$0.5939656137556215/1.0/0.3021823287692967/0.9246575256637505/0.535211259590996/0.0956521356972762|$$$0.5980530803144054/0.24431015587565905/0.10719569563216932/0.0/0.9718309665593866/0.0|$$$0.289155402534263/0.7598249319013142/1.0/1.0/0.76056338754023/0.0"
"Aggressive","$$$0.3569560318212405/0.47122514100600726/0.04766240800926445/0.13281249646395013/0.33707866126103253/1.0|$$$0.0/0.5248227256976803/0.2900706040569315/0.32031250688599183/0.0/0.9013157839059139|$$$0.26138869973538104/0.7914028208246946/0.1561171504352049/0.4140625001861079/0.25842697177767693/0.8947368424352051|$$$0.17970718199950303/0.38718950976794053/0.2945823527214315/0.42187500558323665/0.2359550727326392/0.7236842237734847|$$$0.3210397844745591/0.49436320239598125/0.4727445926257985/0.35156250465269717/0.31460674080313306/0.618421080000263|$$$0.3813730355370444/0.13208632847001917/0.8017109342896634/0.3125000133997679/0.6853932591968669/0.427631606835711|$$$0.7610879126416403/0.3345841892010471/0.5716472412118495/0.1640625106081496/0.6067415739960836/0.4407895098375987|$$$0.6767713515310944/0.48179683862161904/0.7007023049049274/0.671875011538689/0.7865168520078326/0.31578951156154533|$$$1.0/0.35524174540009135/0.6518650304456648/0.1250000029777262/0.7528089991577037/0.26315789955399443|$$$0.5929495873520819/0.5162546812521257/0.0/0.6171875214024071/0.6853932591968669/0.24342104505116285|$$$0.5054668727399814/0.44904688842047014/0.1490184541820763/0.0/0.7078651839373388/0.23026322229115515|$$$0.7742142887554984/0.4895010891697267/0.6779212895513467/0.6640625061415603/0.5730337211459547/0.24342104505116285|$$$0.856052707954356/0.4296760160406743/1.0/0.2656250107942575/0.3483146107835514/0.11184209527416564|$$$0.42269362940719846/0.7335835925755838/0.47139695169785945/0.4140625001861079/0.5842696663859013/0.2039474162873797|$$$0.35581100129946275/0.20187469456170926/0.48262822668011507/0.2265625135858758/0.4606741659647531/0.09210532101321407|$$$0.29590223569169427/0.0/0.543759572639994/0.04687499665005802/1.0/0.0|$$$0.11415638183412802/1.0/0.4063403563823826/1.0/0.08988766470130856/0.03289475750471931"
"Aggressive","$$$0.34225991794111466/0.433077419501953/0.4412439892977296/0.09271522195887999/0.5656565753982051/1.0|$$$0.7531959930942922/0.4191996086506473/0.656099569801347/0.43708608676421984/0.5656565753982051/0.9705882369426858|$$$0.33453897667309157/0.4918689569085854/0.5509253456357108/0.45695362927850663/0.48484849814844777/0.88970588292994|$$$0.1722010844217453/0.6332561454505965/0.41275433397276895/0.271523175264086/0.48989899876563187/0.8088235177069307|$$$0.6144539227285658/0.2899486587657742/0.7613284416434378/0.20529801167369852/0.5959596012387479/0.6397058857325059|$$$0.1255155824338482/0.20797139729913458/0.6356765187174798/0.09271522195887999/1.0/0.6838235191082137|$$$0.8472227893820578/0.4534167634839356/0.7063823715269992/0.675496677708947/0.7171717190383786/0.7499999915923024|$$$0.7169302890075046/0.24779260198975414/0.611994124073646/0.06622516863871783/0.6616161660494826/0.7132352821655279|$$$0.0/0.5345828466670469/0.787617443711809/0.42384104495914776/0.7121212184211946/0.6249999929935853|$$$0.7956424552164904/0.34035242160658996/0.9162350873647199/0.30463574948678424/0.6212121303120959/0.7941176473885372|$$$0.7353371162401177/0.451617224467896/0.7797906820507104/0.4437086076667559/0.6010101124434024/0.691176465477674|$$$0.8465153722470687/0.3953155365788284/0.8076965614033871/0.12582781321969314/0.6060606149855812/0.691176465477674|$$$0.5351324504487057/0.4821716114422235/0.7594179415261187/0.39072846063978883/0.5202020332686504/0.21323526535013257|$$$0.5487965543571829/0.612940653524603/0.8778984411967147/0.13245032718077496/0.762626263092928/0.13970589133763767|$$$0.5735203376536573/0.0/0.6445585009882121/0.19205297491695672/0.7020202094868478/0.0073529463694603095|$$$0.7202375895905783/0.01823657500610553/0.8003646648124045/0.5496688613340474/0.8838384011050023/0.05147053490411396|$$$0.5226242884685851/0.7315530803728405/0.0/1.0/0.4393939463939199/0.05882348127357427|$$$1.0/1.0/0.3384881416710652/0.0/0.2575757701757224/0.0|$$$0.5806483872910612/0.2875800937900052/1.0/0.20529801167369852/0.3484848582848212/0.32352937120992903|$$$0.37142931721801203/0.673100703573882/0.5271809302162183/0.231788070042191/0.0/0.2352941044585135"
"Aggressive","$$$0.28955642569999/0.21653278791851918/0.21819640113388042/0.34412955646137533/0.5396825302714545/1.0|$$$0.38501036143003586/0.45587512446511586/0.0768638276744784/0.461538465811698/0.28571427361431906/0.9208633129034114|$$$0.5586000084127138/0.49746224378815135/0.19083117599772328/0.5870445452085002/0.37301585957146566/0.9496402835481664|$$$0.3927728622694812/0.09217079334973866/0.4366987286696794/0.4170040529312015/0.15873014528575136/0.8489208616128145|$$$0.5047046748608561/0.0/0.25523917044042194/0.307692310541132/0.2063492009714434/0.6618704948382519|$$$0.46500526954691696/0.17438474710486662/0.174895881963035/0.31174089016347567/0.9126984019428868/0.6906474709671646|$$$0.31749043805705496/0.3857131461330109/0.2473794655400668/0.6599190401352133/0.48412697942144156/0.7194244470960773|$$$0.5296437525051777/0.03021658785141253/0.19843087961796085/0.21052631319054624/0.5079365072642875/0.7482014451616202|$$$0.3998313944777795/0.3929169595574752/0.235531507345669/0.7044534591881625/0.9841269733714583/0.6834532214507789|$$$0.49556603954568423/0.1867956246159831/0.09536948206949447/0.372469640050705/0.48412697942144156/0.5827338159678996|$$$0.6116106106233843/0.22338129863988732/0.5601165268602296/0.49392713365271085/0.40476190526607003/0.5755395664515139|$$$0.9168347813040282/0.2439348860988893/0.3975614845169057/0.5303643811160673/0.8015873123428274/0.5395683188695852|$$$0.12748337790825648/0.18391162770150596/0.11617066932429682/0.5101214644869909/0.2619047578714397/0.48920861612814565|$$$0.6340882175732311/0.17353763572404496/0.33205888106876075/0.49392713365271085/0.7777777724000148/0.3812949611288807|$$$0.2707529683925577/0.23671961273429604/0.17531752520728683/0.5991903025928894/0.6269841162286011/0.2805755556460015|$$$0.8722481714485297/0.22624572915889082/0.5844033223751894/0.0/0.8730158837713989/0.35251796306333777|$$$1.0/1.0/1.0/1.0/0.476190472157154/0.014388499032771469|$$$0.728800337127261/0.6523595739468876/0.3286354706113574/0.6720647975196024/0.5238095157428794/0.0|$$$0.3380961839577797/0.3888455649754444/0.7422841275185138/0.4291498041431379/1.0/0.1798560624166012|$$$0.04167343915908609/0.22875780612701738/0.0/0.40080971592446873/0.21428571428571427/0.2374100585476871|$$$0.22716812885905854/0.39715344065030356/0.1353919600661177/0.3562753072875334/0.0/0.12949640354842215|$$$0.9145230036378758/0.17742509034538861/0.5634166265575216/0.4777328028184308/0.5158730145285751/0.29496401080551243|$$$0.5720240228952995/0.08363947524775717/0.4388901163713657/0.5627530427846275/0.06349205811430055/0.25179855758045855|$$$0.0/0.33044914277931486/0.26338708260121335/0.5506072977451437/0.24603174334286457/0.6258992691929536|$$$0.5172783736496961/0.2546869504790374/0.5618580653373453/0.6194332068770604/0.46031745157859555/0.6834532214507789"
"Aggressive","$$$0.48112811959270074/0.4869338244538832/0.25637809258476585/0.3776607314626303/0.5286624035131791/0.9281767860361021|$$$0.690303504134204/0.6190383096956391/0.3142676755586557/0.6914893252044616/0.5159235551902344/0.8563535811165263|$$$0.6321926768990567/0.5254203591040282/0.4082356335911595/0.3829787026543131/0.5923566764085826/0.9171270663766237|$$$0.5079907603723802/0.7688388490132803/0.283790699187749/0.6861702046141944/0.4522292822948307/0.6795579942102953|$$$0.6284515082614728/0.5278948213590755/0.2755127336557355/0.5159574227237563/0.3757961715033758/0.4419889220439669|$$$0.44032825555992494/0.0/0.38265548721099396/0.0/0.6178343834813653/0.43093919334016634|$$$0.5368342080217503/0.75482456293207/0.49823205242888813/1.0/0.5923566764085826/0.45303865074776734|$$$0.4196837302964115/0.3964074816386548/0.22625992525092387/0.2021276447530808/0.6624203734654586/0.5359115753268215|$$$0.5364722964351882/0.5547519213012398/0.17628696277600728/0.7446808184567778/0.9044585750165549/0.569060761438223|$$$0.5106639397446592/0.5344908512937648/0.4530500895225201/0.49999998258486994/0.3566878781651721/0.5414364351565607|$$$0.7025179786705552/0.47374495398293176/0.4310968084468226/0.10638296908950251/0.7515923430067516/0.5138121450521869|$$$0.5900589257330504/0.5157368881357285/0.5458296303599001/0.4893616804513807/0.5541401105859618/0.3370165400573117|$$$1.0/0.5688826463372586/0.5596404957055582/0.7074467827584779/0.6496815147156205/0.15469610236566367|$$$0.47903471188648306/0.7278937463974134/0.24990250533919312/0.5425531737036969/1.0/0.18232043769164802|$$$0.6515928759593173/0.47263969376771847/0.606541839940913/0.48404253373841855/0.6624203734654586/0.0|$$$0.5605904763410692/0.12883828915717813/0.8218947117678944/0.31914892468363765/0.8853502921052444/0.22651928919659522|$$$0.24557890310508051/0.24538988539023385/0.0/0.8510637962538453/0.7961783225639514/0.02762426297140747|$$$0.4601485637188313/1.0/1.0/0.8191489159760726/0.0/0.06629831795687025|$$$0.6955554164519824/0.5766876005734508/0.11848291427570029/0.7872340008680397/0.14649678699454435/0.33149167118325035|$$$0.4261739438271842/0.7720529905317348/0.30185688825250667/0.5425531737036969/0.9299362925162309/0.4088397630655317|$$$0.4167585027852457/0.514441751698111/0.6318186298212201/0.4468084980401187/0.07006369705687593/0.3038674082118429|$$$0.528638633142099/0.40483096425937604/0.5261995439202207/0.5212765781442835/0.5732483934972722/0.3535911376351735|$$$0.23217613549113217/0.5024500296711993/0.5509656659953127/0.4627659468865701/0.4777069997945068/0.5027624073040643|$$$0.0/0.5550487075174856/0.5891628236972359/0.6808510491936673/0.24203821197798958/0.6795579942102953|$$$0.19838904040975747/0.6060262480779736/0.4939158401038827/0.5957446669560132/0.681528656376769/0.7624309278336716|$$$0.10173567460960325/0.4622168925457357/0.4716283962388358/0.5744680713965998/0.3566878781651721/0.845303861457048|$$$0.31887166787549126/0.42957007292467714/0.5578442786010078/0.6170212538078618/0.3057324640196066/1.0"
"Aggressive","$$$0.2700721482395749/0.5938257695594813/0.11847588932806324/0.7022471984395745/0.11999998902291034/0.08333333862706865|$$$0.31765937596687455/0.6014415166016707/0.0/0.7078651739286306/0.2599999914622636/0.1428571433433022|$$$0.5743057152526783/0.6465162020838767/0.03352481335090031/0.6910112383609958/0.4799999751490887/0.1666666772541373|$$$0.5524034518943315/0.641346039311181/0.04071462450592885/0.7528089949713691/0.4199999977893361/0.11904762871678867|$$$0.6163383687852602/0.820260236281041/0.18073184014053578/0.7303370844499998/0.6199999890229103/0.13095238603004544|$$$0.7188489507940762/1.0/0.00176723759332455/1.0/0.37999998048517397/0.154761900656559|$$$0.6913952631450712/0.7555105560373074/0.8738733421168203/0.8089887702041492/0.6799999987803234/0.2619047720600909|$$$1.0/0.974146399230154/0.2993187527448397/0.9101123664796679/0.45999998269583786/0.19047618961190715|$$$0.5439531980162363/0.5233637213204761/1.0/0.7808988804464729/0.4199999977893361/0.4880952256711654|$$$0.0/0.0/0.2582429512516469/0.0/0.31999997072776093/1.0|$$$0.5360283731675902/0.893409461312704/0.577716644707949/0.8033707973917009/0.939999990242587/0.49999999546251256|$$$0.14911453902259686/0.6588080653243907/0.11665384277558191/0.5056179813775933/0.0/0.22619048083599902|$$$0.6129479455616476/0.7331559900081159/0.2636339042599912/0.7752809076340247/1.0/0.0"
"Aggressive","$$$0.5915620019421306/0.5833601818406169/0.44580059884153556/0.5331325428457333/0.4671052671171981/0.4901960813255254|$$$0.5230125264405021/0.5820875779886922/0.6339556223532299/0.5000000114803899/0.45394736894895976/0.5882353222532091|$$$0.5001533560246518/0.752641923903331/0.1840613091834345/0.5210843449776326/0.5657894657656038/0.43137257488380937|$$$0.3465307816420353/0.9814037361176926/0.07327086346335071/0.6596385679380081/0.4736842111861997/0.549019617661276|$$$0.7067871376348936/0.9797543423926482/0.6766710228485274/0.6445783261995721/0.2631579031833559/0.5294117840490812|$$$0.5180219906061956/0.6889194483823966/0.823598875732806/0.572289167691942/0.4276315776276006/0.4901960813255254|$$$0.520468245413745/0.8034125255775325/0.48716239410214246/0.48493977203803185/0.6052631552552012/0.4705882458449534|$$$0.021776901620886403/0.18727430321235092/0.0/0.0/0.26973685477503384/0.2549019640081802|$$$0.04975138424641275/0.9904749859859259/0.4245130246086038/1.0/0.42105263105104024/0.43137257488380937|$$$0.02052921203582978/0.538002831877413/0.25794339445407116/0.16566264993848348/0.0/1.0|$$$0.6129544133332272/0.8285461149242748/0.7995235759765589/0.740963867814975/0.8552631452249662/0.5294117840490812|$$$0.345247528194096/0.5300620362917725/0.30008999505222006/0.6054216921690516/0.3355263205406377/0.2549019640081802|$$$0.4216360116449215/0.0/0.29274624295547386/0.12951808446113622/0.2631579031833559/0.33333334329801156|$$$1.0/0.5940445049066501/1.0/0.7228915667076777/1.0/0.03921571206544163|$$$0.08102701414707474/1.0/0.09864306161522722/0.5813253090612789/0.5263157888138004/0.11764707640825565|$$$0.0/0.7252708238305268/0.48529626293273054/0.6626506089382458/0.26973685477503384/0.13725490254694186|$$$0.3767071828520522/0.42766952103884437/0.03806327530910638/0.19578315178397912/0.440789475795839/0.03921571206544163|$$$0.3353811459658119/0.42997406965265783/0.3322436385532051/0.43373495104578086/0.24342106846879233/0.0|$$$0.5340936673776802/0.42551527275476797/0.7882285259641569/0.5692771175073924/0.8881579031833559/0.03921571206544163"
"Aggressive","$$$0.32889883403805076/0.5160761565455722/0.15900390611799045/0.5625000132343385/0.711442794466042/0.6865671777855019|$$$0.5292223680511339/0.5250771567757556/0.4724229525635167/0.5694444544437224/0.7462686589664618/0.805970157744463|$$$0.3866115330432821/0.5565725886123247/0.0/0.5798611228749676/0.8557214029218112/0.6716418104460978|$$$0.23512796621188112/0.8380241310305981/0.0755804975894162/0.6840277860124773/0.711442794466042/0.641791053012129|$$$0.6154577068194214/1.0/0.6502394466445495/0.9097222457499351/0.6417910483988316/0.3432835810706644|$$$0.5047440892530745/0.4534389563142961/0.4135878626988868/0.42013889829997403/0.7562189115199246/0.41791045047822817|$$$0.39452439389396954/0.5263189286478636/0.2903701947547901/0.7187500105874708/1.0/0.23880599120626814|$$$0.42488663324084686/0.8858339524631745/0.40485433814098315/0.8923611228749676/0.572139306124148/0.029850765967154063|$$$0.0/0.6645580056897029/0.7023868756931111/0.5729166810038667/0.7363184139980526/0.0|$$$0.3426526424001981/0.21059575161089597/0.9170148794344162/0.0/0.5920398017497566/0.4776119596573755|$$$0.024228757763249387/0.7361949515333361/0.5434859126553959/1.0/0.5970149294486855/0.46268657667379853|$$$0.5208071000599891/0.5118615122199555/0.4102141372044091/0.3993055720249546/0.6119403049604187/0.5074627028693689|$$$0.587898912115952/0.4836326999504415/0.5678387100296195/0.6006944597374578/0.8159204040855405/0.3880597072662348|$$$1.0/0.0/0.5482082964843898/0.08680557202495458/0.9303482577253165/0.35820896405424146|$$$0.19487628946727462/0.4705703297228911/0.29917754717834577/0.7743055720249545/0.8258706518983447/0.3731343470378185|$$$0.29451103064027057/0.6665715229643693/1.0/0.6875000105874708/0.7164179164761807/0.6865671777855019|$$$0.32711432458630996/0.5785388316652393/0.3321853620138994/0.32986112287496755/0.0/1.0"
